ticker,strategy_no,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,density_full,density_frozen
RRPIX,1,condition_expansion,combo_XLV_big_down__ext_sect_rotation_up,1,0.2924330411360788,209,0.5645933014354066,0.23577310294234333,33,0.5757575757575758,120,30
RRPSX,1,condition_expansion,combo_XLV_big_down__ext_sect_rotation_up,1,0.29149180272618985,196,0.5510204081632653,0.23215453645208514,33,0.5757575757575758,120,30
SGPIX,1,triple_scan,GDX_up_down_down_SPY_XLF,1,0.33284217252921583,326,0.5736196319018405,0.5860335267258415,60,0.6833333333333333,120,30
SGPSX,1,triple_scan,GDX_up_down_down_SPY_XLK,1,0.3083561336376136,390,0.5846153846153846,0.5621973528759366,63,0.6666666666666666,120,30
SLPIX,1,triple_scan,GDX_up_down_down_XLF_XLK,1,0.32072459112924045,366,0.5956284153005464,0.7132760435953878,49,0.673469387755102,200,40
SLPIX,2,condition_expansion,combo_XLF_big_down__self_down,1,0.21005909305437478,804,0.5634328358208955,0.4816012097224851,41,0.7073170731707317,200,40
SLPIX,3,triple_scan,FXY_up_up_down_GDX_QQQ,1,0.2569581086018229,488,0.5819672131147541,0.4462206127468063,41,0.6097560975609756,200,40
SLPSX,1,triple_scan,GDX_up_down_down_XLF_XLK,1,0.3314921801370492,331,0.595166163141994,0.709705756110671,49,0.673469387755102,200,40
SLPSX,2,condition_expansion,combo_XLF_big_down__self_down,1,0.21044541664810046,808,0.5643564356435643,0.47703434601206235,41,0.7073170731707317,200,40
SLPSX,3,triple_scan,FXY_up_up_up_GDX_LQD,1,0.21532451609629566,293,0.5631399317406144,0.26139570426522807,83,0.6626506024096386,200,40
SMPIX,1,condition_expansion,combo_QQQ_down__ext_vix_5dchg_up,1,0.6803899186045047,591,0.583756345177665,1.4284447752314506,108,0.6111111111111112,200,40
SMPIX,2,condition_expansion,combo_TLT_up__ext_yld_curve_proxy_up,2,0.2045629841626833,2094,0.5716332378223495,0.4247253424651775,178,0.6123595505617978,200,40
SMPIX,3,condition_expansion,combo_XLV_down__ext_vix_close_up,2,0.21867939420392093,2193,0.5718194254445964,0.3645115790240233,191,0.5916230366492147,200,40
SMPSX,1,triple_scan,GDX_up_down_down_SPY_XLK,1,0.776918223035151,441,0.6167800453514739,1.299350917043555,63,0.6666666666666666,200,40
SMPSX,2,condition_expansion,combo_XLV_down__ext_vix_close_up,2,0.2128296370742251,2192,0.5707116788321168,0.36107899981223657,191,0.5863874345549738,200,40
SMPSX,3,condition_expansion,combo_TLT_up__ext_yld_curve_proxy_up,2,0.20266679934932474,2094,0.5702005730659025,0.42214634833183323,178,0.6067415730337079,200,40
SNPIX,1,triple_scan,QQQ_up_up_up_XLC_XLV,1,0.3705735828518337,158,0.569620253164557,0.8807136883415989,35,0.6,120,30
SNPIX,2,condition_expansion,combo_XLF_big_up__ext_tnx_chgbp_down,1,0.24384322840746386,218,0.555045871559633,0.5232691111955513,39,0.6410256410256411,120,30
SNPIX,3,triple_scan,GDX_up_up_up_XLC_XLV,2,0.2455329542656289,151,0.609271523178808,0.20419543042490143,48,0.5625,120,30
SNPSX,1,triple_scan,SPY_up_up_up_XLC_XLK,1,0.4212866628776488,147,0.6122448979591837,0.7584011975858662,44,0.7045454545454546,120,30
SPPIX,1,triple_scan,GLD_up_up_down_XLE_XLV,1,0.28976361890412705,421,0.5795724465558195,0.41647678676979943,54,0.5740740740740741,120,30
SPPIX,2,triple_scan,EEM_up_up_down_GLD_IWM,1,0.3315668152982321,290,0.5758620689655173,0.9217735695831965,34,0.5882352941176471,120,30
SPPIX,3,triple_scan,GDX_up_down_down_IWM_TLT,1,0.21255588653509144,215,0.5674418604651162,0.27650619244533425,42,0.5952380952380952,120,30
SPPSX,1,triple_scan,GLD_up_up_down_XLE_XLV,1,0.293234602950354,421,0.5795724465558195,0.4285554965448252,54,0.5740740740740741,120,30
SPPSX,2,triple_scan,EEM_up_up_down_GLD_IWM,1,0.32853163889864007,290,0.5655172413793104,0.9332267900854604,34,0.5588235294117647,120,30
SPPSX,3,triple_scan,GDX_up_down_down_IWM_TLT,1,0.2124316069459284,215,0.5627906976744186,0.2965205641716521,42,0.5952380952380952,120,30
SVPIX,1,triple_scan,GDX_up_down_down_SPY_XLK,1,0.3025111483423076,394,0.5685279187817259,0.5852671767762666,63,0.6666666666666666,160,35
SVPIX,2,condition_expansion,combo_FXY_up__ext_vix_5dchg_ge10,1,0.2387781650442275,434,0.5921658986175116,0.5805129029676587,35,0.6,160,35
SVPIX,3,triple_scan,LQD_down_up_up_SLV_XLE,2,0.20138147145573515,286,0.5699300699300699,0.21389388914856697,51,0.5882352941176471,160,35
SVPSX,1,triple_scan,GDX_up_down_down_SPY_XLK,1,0.3010347861695245,406,0.5640394088669951,0.5803286314485473,63,0.6507936507936508,160,35
