ticker,n_strategies,constraints_met,base_full_avg,base_full_trades,base_full_hit,base_frozen_avg,base_frozen_trades,base_frozen_hit,sel_full_avg,sel_full_trades,sel_full_hit,sel_frozen_avg,sel_frozen_trades,sel_frozen_hit,density_full_req,density_frozen_req
RRPSX,1,True,0.29149180272618985,196,0.5510204081632653,0.23215453645208514,33,0.5757575757575758,0.29149180272618985,196,0.5510204081632653,0.23215453645208514,33,0.5757575757575758,120,30
SGPIX,1,True,0.10303953350269991,2658,0.5338600451467269,0.08686928533607034,306,0.5228758169934641,0.33284217252921583,326,0.5736196319018405,0.5860335267258415,60,0.6833333333333333,120,30
SGPSX,1,True,0.11340951502773935,2572,0.5353810264385692,0.09236045921793534,306,0.5261437908496732,0.3083561336376136,390,0.5846153846153846,0.5621973528759366,63,0.6666666666666666,120,30
SLPIX,3,True,0.11898532146788272,2688,0.5383184523809523,0.12950938159362038,310,0.5516129032258065,0.2026363219940837,1251,0.5643485211830536,0.43092383952818314,88,0.6363636363636364,200,40
SLPSX,3,True,0.12785581938138418,2753,0.539048310933527,0.14337230922701558,340,0.5529411764705883,0.21014684067897388,1267,0.5627466456195738,0.3692211550072871,141,0.6595744680851063,200,40
SMPIX,3,True,0.14546503157798232,5658,0.5268646164722517,0.31662250756871474,394,0.5685279187817259,0.2518871007897385,3311,0.5647840531561462,0.6359267096412952,321,0.5856697819314641,200,40
SMPSX,3,True,0.13701283108684226,5693,0.5280168628139821,0.33057322147026613,394,0.5710659898477157,0.24983648154342689,3267,0.5668809305172942,0.5183955618883982,316,0.5981012658227848,200,40
SNPIX,3,True,0.17609747008191753,509,0.555992141453831,0.32043571798836706,115,0.5652173913043478,0.2124785310233704,457,0.562363238512035,0.4193004049944993,88,0.5681818181818182,120,30
SNPSX,1,True,0.12284763130527863,628,0.5286624203821656,0.23678336064953617,140,0.5285714285714286,0.4212866628776488,147,0.6122448979591837,0.7584011975858662,44,0.7045454545454546,120,30
SPPIX,3,True,0.16841930163824642,847,0.5560802833530106,0.22038745102128496,127,0.5039370078740157,0.2288160267951904,749,0.5687583444592791,0.35137479859892956,102,0.5588235294117647,120,30
SPPSX,3,True,0.19416882374218875,831,0.5547533092659447,0.2805051134509952,131,0.5267175572519084,0.2279089480364686,749,0.5647530040053405,0.357707357419792,102,0.5490196078431373,120,30
SVPIX,3,True,0.14022473930137744,2485,0.5420523138832998,0.07378950662820914,288,0.5416666666666666,0.23343676340840525,956,0.5742677824267782,0.36395258978618655,124,0.6048387096774194,160,35
SVPSX,3,True,0.13575713664384645,2105,0.5415676959619953,0.08779117343435008,276,0.5507246376811594,0.20357254951225784,914,0.5711159737417943,0.3418801125636382,119,0.5798319327731093,160,35
TEPIX,3,True,0.10368888701760519,5293,0.5441148686945022,0.20269235658912957,395,0.5949367088607594,0.22967588484376575,2567,0.567588624853915,0.50690603804141,217,0.6497695852534562,200,40
TEPSX,3,True,0.09994647354659773,5202,0.5407535563244906,0.21488731123402474,394,0.5939086294416244,0.22235786434455782,2491,0.5732637494981935,0.5257817712906386,193,0.6321243523316062,200,40
UAPIX,3,True,0.13963563265465717,5176,0.5367078825347759,0.18128018730941414,392,0.5459183673469388,0.27735412307300705,2490,0.559437751004016,0.5367007947810459,136,0.5808823529411765,200,40
UAPSX,3,True,0.14063673244801433,5146,0.5386708122813836,0.15338531846450076,392,0.5331632653061225,0.28556111551968244,2418,0.5632754342431762,0.4711123050602421,187,0.5935828877005348,200,40
UBPIX,3,True,0.13338873144906935,4386,0.5150478796169631,0.33416820853418283,393,0.5674300254452926,0.23590493147050506,2003,0.5666500249625561,0.4349870486191355,196,0.5867346938775511,200,40
