name,category,reason,query,symbol,hit_name,hit_type,rows,first,last,currency,yahoo_name,status
IIF GLOBAL EQUITY B ACC USD,GLOBAL,no-data,IIF GLOBAL,0P0001O59P,IIFIG Global ABS Fund Class B U,Fund,1156,1641306600,1786627800,USD,IIFIG Global ABS B USD Acc,recovered
IIF GLOBAL EQUITY FUND CLASS A USD USD,GLOBAL,no-data,IIF GLOBAL,0P0001O59P,IIFIG Global ABS Fund Class B U,Fund,1156,1641306600,1786627800,USD,IIFIG Global ABS B USD Acc,recovered
INVESCO MANAGEMENT GLOBAL EQUITY INCOME A USD ACC NAV USD,GLOBAL,no-data,,,,,0,,,,,no-data
INVESCO MANAGEMENT GLOBAL SMALL CAP EQUITY A USD,GLOBAL,no-data,,,,,0,,,,,no-data
INVESCO SUSTAINABLE GLOBAL INCOME C HEDGED ACC USD,GLOBAL,no-data,INVESCO SUSTAINABLE,0P0001CDUF.F,0P0001CDUF.F,Fund,1131,1646722800,1786687200,EUR,Invesco Sustainable Allc C Acc EUR,recovered
ISHARES II PLC GLOBAL SUSTAINABI UCITS USD,GLOBAL,no-data,ISHARES II,ISUS.L,ISHARES II PLC ISHRS MSCI USA I,ETF,4451,1230883200,1786690800,GBp,iShares MSCI USA Islamic UCITS ETF USD (Dist),recovered
iShares Macquarie Global Infra USD,GLOBAL,no-data,,,,,0,,,,,no-data
iShares S&P Global Water USD,GLOBAL,no-data,iShares S&P Global,XGD.TO,iSHARES S&P/TSX GLOBAL GOLD IND,ETF,6408,985876200,1786627800,CAD,iShares S&P/TSX Global Gold Index ETF,recovered
ISHARES VI PLC GLOBAL AAA-AA GOV BND UCITS USD,GLOBAL,no-data,ISHARES VI,CSP1.AQ,ISHARES VII PLC,ETF,1,1786691506,1786691506,GBp,ISHARES VII PLC,recovered
JPM IF GLOBAL DIVIDEND C ACC USD,GLOBAL,no-data,,,,,0,,,,,no-data
JPMF A JPMF AMERICA EQUITY A USD USD,AMERICAN,no-data,,,,,0,,,,,no-data
JPMF AM GLOBAL EQUITY A DIST USD USD,GLOBAL,no-data,,,,,0,,,,,no-data
JPMORGAN IF ASSET MGM GLOBAL BAL HGD A ACC USD USD,GLOBAL,no-data,,,,,0,,,,,no-data
JPMORGAN IF ASSET MGM GLOBAL INCOME HEDGED A USD ACC NAV USD USD,GLOBAL,no-data,,,,,0,,,,,no-data
