isin,name,sheet
LU0957039414,JPMORGAN IF ASSET MGM GLOBAL BAL HGD A ACC USD USD,global
LU0762807625,JPMORGAN IF ASSET MGM GLOBAL INCOME HEDGED A USD ACC NAV USD USD,global
LU1181866309,JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS A HGD USD,global
LU1378862947,JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS C USD ACC USD,global
LU0997683551,JPMORGAN IF GLOBAL INCOME C DIS HDG USD,global
LU0068337053,JSS EMERGINGSAR GLOBAL A DIST USD,global
IE0031386414,JUPITER GLOBAL FIXED INCOME FUND L USD ACC USD,global
LU0966834136,JUPITER GLOBAL FUND EUROPEAN GTH L ACC USD USD,global
LU0262307720,JUPITER GLOBAL FUND JUPITER FINANCIAL INNOVATION L USD ACC NAV USD,global
LU0365089902,JUPITER GLOBAL INDIA SEL L USD USD,global
IE00BLP5S684,JUPITER MERIAN GLOBAL EQUITY ABSOLUTE RETURN FUND I USD ACC USD,global
IE00BLP5S353,JUPITER MERIAN GLOBAL EQUITY ABSOLUTE RETURN FUND L USD ACC USD,global
IE00BYM85152,Jupiter Merian Global Equity Income Fund (IRL) L USD Inc USD,global
XS2302881946,KYTE BBVA 6Y GLOBAL MARKETS QTLY PHOENIX AC WITH MEM USD USD,global
XS2311605401,KYTE BBVA 6Y GLOBAL MARKETS QUARTERLY PHOENIX AC USD USD,global
IE00B3X5FG30,LAZARD GLOBAL LISTED INFRA EQUITY A ACC USD HEDG USD,global
IE00BDX8CQ10,LAZARD GLOBAL LISTED INFRA EQUITY A DST US\$ HDG USD,global
IE00BF4KN675,LAZARD GLOBAL LISTED INFRASTRUCTURE EQUITY FUND A ACC USD,global
XS2944878912,LEVERAGE VANILLA GLOBAL BALANCED INVESTMENT ETP USD,global
BMG611881274,LIBERTY GLOBAL LTD USD,global
IE00BK4Z4V95,LINDSELL TRAIN LTD GLOBAL EQUITY C USD,global
IE00BK6SH736,LIONTRUST GF SUSTAINABLE FUTURE GLOBAL GROWTH FUND B5 ACC USD USD,global
LU1531595301,M&G (LUX) GLOBAL TARGET RETURN FUND C H ACC USD,global
GB00B1RXYT55,M&G INVESTMENT MAN GLOBAL THEMES A USD ACC USD,global
LU1670711040,M&G SECURITIES GLOBAL DIVIDEND A ACC USD,global
IE000XOE1GE5,MAN GLOBAL INVESTMENT GRADE OPPORTUNITIES I ACC USD,global
XS2720284947,MARIANA BBVA GLOBAL MARKETS MEMORY INCOME GENERATOR 8560 USD,global
XS2491412750,MARIANA GLOBAL GROWTH KICK OUT NOTE V2 USD,global
XS2396761384,MARIANA GLOBAL MARKETS AUTOCALL NOTE USD,global
XS1962576085,MARIANA INVESTEC GLOBAL INDEX INCOME BUILDER 65 USD,global
XS2269095167,MARKET SEC BBVA 6Y 6% GLOBAL MARKETS QUARTERLY PHOENIX AUTO USD USD,global
XS2277235565,MARKET SEC BBVA 6Y GLOBAL MARKETS QUARTERLY PHOENIX USD,global
XS1338548784,MARKET SEC BNP GLOBAL MARKETS AC USD USD,global
LU0219441499,MFS MERIDIAN FUNDS GLOBAL TOTAL RETURN A1 USD CAP USD,global
GB00BQC4KH86,MGTS PROGENY PROFOLIO GLOBAL 30-50% SHARES FUND ACC USD,global
US60744M1062,MOBILITY GLOBAL INC USD,global
LU2000523741,MOMENTUM GF HARMONY GLOBAL EQUITY FUND A ACC USD,global
GG00B39TZF88,MOMENTUM GLOBAL GROWTH FUND CLASS A USD,global
IE00BNGJKV20,MONTLAKE ORIEL LATITUDE GLOBAL FUNDS I USD ACC USD,global
LU0868753731,MORGAN STANLEY GLOBAL ADVANTAGE A EUR ACC NAV USD,global
LU0868754200,MORGAN STANLEY GLOBAL ADVANTAGE FUND Z ACC USD,global
LU0176160306,MORGAN STANLEY GLOBAL BRANDS C USD,global
LU0119620416,MORGAN STANLEY IF GLOBAL BRANDS A ACC USD,global
LU0360482987,MORGAN STANLEY IF GLOBAL BRANDS Z ACC NAV USD,global
LU0834154790,MORGAN STANLEY IF GLOBAL OPP I ACC NAV USD,global
LU0552385295,MORGAN STANLEY IF GLOBAL OPPTY FD USD CL A USD,global
XS3138925816,NATIXIS IDAD GLOBAL MARKETS DEFENSIVE AUTOCALL FEBRUARY 2026 USD,global
LU0130103749,NATIXIS INTL (LUX) HARRIS ASSOCS GLOBAL EQUITY I ACC USD,global
IE00B98FL735,NEUBERGER BERMN II GLOBAL SNR FTG RTE INC I US USD,global
IE0033116462,NEW CAPITAL GLOBAL VALUE CREDIT FUND USD,global
IE00BF2F6980,NEW HORIZON GLOBAL BALANCED FUND C USD ACC USD,global
IE00BDZ2QR06,NEW HORIZON GLOBAL BALANCED FUND F USD ACC USD,global
IE00BJSFB519,NEW HORIZON GLOBAL BALANCED FUND M USD ACC USD,global
IE000MRJHBY1,NEW HORIZON GLOBAL INNOVATION D ACC USD,global
IE00BM97L808,NEXT GEN INVT STRA MORNINGSTAR GLOBAL ADVENTUROUS A USD ACC USD,global
IE00BM97L352,NEXT GEN INVT STRA MORNINGSTAR GLOBAL BALANCED A USD ACC USD,global
IE00BM97KY96,NEXT GEN INVT STRA MORNINGSTAR GLOBAL CAUTIOUS A USD ACC USD,global
IE00BD85VQ07,NG MORNINGSTAR GLOBAL DEFENSIV A USD ACC USD,global
IE00BD85V827,NG MORNINGSTAR GLOBAL GROWTH A USD ACC USD,global
LU0345770563,NINETY-ONE GLOBAL ST GBL STRAT EQUITY I ACC USD,global
LU0696274553,NINETY-ONE GLOBAL ST GLOBAL VALUE EQTY A USD ACC USD,global
LU0641506000,NINETY-ONE GLOBAL ST UK ALPHA I USD ACC USD,global
LU0439319624,NINETY-ONE GLOBAL ST US DOLLAR MONEY I USD ACC USD,global
LU0345769631,NINETY-ONE GS GLOBAL EQUITY A INC USD,global
GB00B12GL767,NINETY ONE FD MGRS GLOBAL GOLD A USD ACC USD,global
LU2298064838,NINETY ONE GLOBAL ENVIROMENT FUND A ACC USD,global
GB00BMXZ8672,NINETY ONE GLOBAL ENVIRONMENTS A USD ACC USD,global
LU0345769128,NINETY ONE GLOBAL EQUITY A ACC USD USD,global
LU0953506580,NINETY ONE GLOBAL MULTI-ASSET INC A INC-2 USD,global
LU0345781503,NINETY ONE GLOBAL NATURAL RESOURCES C INC USD,global
LU0947747993,NINETY ONE GLOBAL ST GBL MULTI ASSET INC IX INC USD,global
LU0972617095,NINETY ONE GLOBAL ST GBL MULTI AST INC A USD ACC USD,global
LU0983164343,NINETY ONE GLOBAL ST GBL MULTI AST INC I USD DIS USD,global
LU0345781172,NINETY ONE GLOBAL STRATEGY FUND GLOBAL NATURAL RESOURCES FUND I ACC USD,global
LU0426412945,NINETY ONE GSF GLOBAL FRANCHISE A ACC USD,global
LU0345780521,NINETY ONE GSF GLOBAL GOLD A INC GRS USD USD,global
LU0345780950,NINETY ONE GSF GLOBAL NATURAL RESOURCES A ACC GRS USD USD,global
LU0345770308,NINETY ONE GSF GLOBAL STRATEGIC EQUITY A GRS USD ACC USD,global
LU1939255532,NINETY ONE LUX S.A GLOBAL ENVIRONMENT A ACC USD,global
GB00B0MDF670,NINETY ONE PIF GLOBAL MACRO ALLOCATION FUND A ACC USD,global
IE00BD4DXL75,NOMURA GLOBAL HIGH CONVICTION I USD USD,global
LU2637817243,NSF SICAV WEALTH DEFENDER GLOBAL EQUITY FUND C USD ACC USD,global
LU1347437607,NSF WEALTH DEFENDER GLOBAL EQUITY A ACC USD,global
IE00BYM2RB15,PGIM GLOBAL REAL SEL RE SECURITIES I ACC USD,global
IE00BYV6MS67,PGIM JENNISON GLOBAL EQUITY OPPORTUNITIES I ACC USD,global
LU0503633330,PICTET-GLOBAL ENVIRONMENTAL OPPORTUNITIES HP ACC USD,global
LU0386856941,PICTET FUNDS GLOBAL MEGATREND SEL I USD ACC USD,global
LU0386859887,PICTET FUNDS GLOBAL MEGATREND SELECTION P ACC USD USD,global
LU0503632100,PICTET GLOBAL ENVIRONMENTAL OPPORTUNITIES I USD ACC USD,global
IE00B193ML14,PIMCO GIS GLOBAL HIGH YIELD E INC USD USD,global
IE0033386453,PIMCO GIS GLOBAL INV GRADE CREDIT INST INC USD USD,global
IE00B3K7XK29,PIMCO GIS GLOBAL INVEST GRADE CREDIT HDGD E ACC USD USD,global
IE0034085260,PIMCO GIS GLOBAL INVEST GRADE CREDIT INST ACC USD USD,global
IE00B2R34T20,PIMCO GIS GLOBAL INVESTMENT GRADE CREDIT E USD INC USD,global
IE00B0C18065,PIMCO GLOBAL ADVIS DIVSFD INC INST ACC NAV USD,global
IE0033591854,PIMCO GLOBAL ADVIS GBL REAL RETURN INSTL INC USD,global
IE00BHZKQ946,PIMCO GLOBAL ADVIS LOW DURATION REAL RTN INSTL USD,global
IE00B98CPZ00,PIMCOG GLOBAL ADVIS INCOME PU INC USD,global
IE0007357332,PINEBRIDGE GLOBAL DYNAMIC ASSET ALLOCATION Y USD ACC USD,global
IE0004897173,PINEBRIDGE GLOBAL EMERGING MARKETS FOCUS EQUITY Y USD ACC USD,global
IE00B503VV16,POLAR CAPITAL FUND GLOBAL INSURANCE I USD DIS USD,global
IE0030772275,POLAR CAPITAL GLOBAL TECH FD USD,global
LU0927891449,PROSPER FDS SICAV GLOBAL MACRO I USD,global
IE00BF5FSX39,PZENA GLOBAL EXPANDED VALUE FUND A USD INC USD,global
GB00BYW6DZ91,QUILTER INVESTORS GLOBAL EQUITY VALUE FUND ACC USD,global
IE000CSTCY83,RANMORE GLOBAL EQUITY FUND INST USD ACC USD,global
US75960P1049,REMITLY GLOBAL INC USD,global
LU0554840073,ROBECO GLOBAL CONSUMER TRENDS EQUITIES CID USD USD,global
XS2161293779,ROCQ CAPITAL BBVA 6Y GLOBAL MARKET IDX USD USD,global
IE00BYW8MG91,RUSSELL OLD MUTUAL VALUE GLOBAL EQUITY E ACC USD,global
IE00B649W081,RUSSELL OPENWORLD GLOBAL HIGH DIVIDEND EQUITY I USD,global
US78409V1044,S&P GLOBAL INC COM USD1 USD,global
IE00B737Q755,SANDS CAPITAL FUND GLOBAL GROWTH A USD ACC USD,global
IE00B94Q3B85,SANLAM AI GLOBAL MANAGED RISK BASE A2 ACC USD,global
IE00BD07T932,SANLAM AI GLOBAL MANAGED RISK BASE L2 ACC USD,global
IE00BSQXBG17,SANLAM AI GLOBAL MANAGED RISK FUND N ACC USD,global
LU0256331488,Schroder Int Sel Global Energy A Acc USD,global
LU0215105999,SCHRODER INT SEL GLOBAL EQUITY A USD ACC USD,global
LU0225283273,Schroder Int Sel Global Equity Alpha A USD Acc USD,global
LU1223082196,SCHRODER INTL SEL GLOBAL GOLD A USD ACC USD,global
LU1195516338,SCHRODER INTL SEL GLOBAL MULTI-ASSET ALLOCATI USD,global
LU0302445910,SCHRODER INV MGMT GLOBAL CLIMATE CHANGE EQUITY A ACC USD USD,global
LU0189893018,SCHRODER INV MGMT GLOBAL HIGH YLD A USD ACC NAV USD,global
LU0956908312,SCHRODER INV MGMT ISF GLOBAL REC C USD ACC USD,global
LU0203345920,SCHRODER INV MGMT QEP GLOBAL ACTIVE VAL A ACC USD USD,global
LU0106255481,SCHRODER INV MGMT QEP GLOBAL CORE C ACC USD,global
LU0224508324,SCHRODER ISF GLOBAL CITIES A ACC USD,global
LU0225283786,SCHRODER ISF GLOBAL EQUITY ALPHA C ACC USD,global
LU0189893794,SCHRODER ISF GLOBAL HIGH YIELD C ACC USD,global
LU0757359954,SCHRODER ISF GLOBAL M.A DIS USD A HDG MF USD,global
LU0776415563,SCHRODER ISF GLOBAL MULTI ASSET BALANCED C ACC USD,global
US86562MCS70,SUMITOMO MITSUI FINANCIAL 5.766 % MEDIUM TERM NOTES 2023-13.01.33 GLOBAL USD,global
LU1892523231,T ROWE GLOBAL FOCUSED GROWTH EQUITY Q USD USD,global
LU1244140163,T.ROWE PRICE FDS GLOBAL TECHNOLOGY EQUITY Q USD,global
LU0133082254,T.ROWE PRICE GLOBAL HI YLD BD A USD USD,global
US89236TJZ93,TOYOTA MOTOR CREDIT CORP 3.05 % MEDIUM TERM NOTES 2022-22.03.27 GLOBAL SER B USD,global
LU1088697633,UBAM GLOBAL EQUITY IC ACC USD,global
LU1808465147,UBAM TECH GLOBAL LEADERS EQUITY IC USD ACC USD,global
XS2011241408,UBS GLOBAL MARKETS QUARTERLY PHOENIX AUTOCALL WITH MEM USD USD,global
IE00B42LF923,VANGUARD GLOBAL SMALL-CAP INDEX USD ACC USD,global
LU2167913123,VONTOBEL FUND II DUFF & PHELPS GLOBAL LISTED INFRASTRUCTURE B ACC USD,global
LU0969575561,VONTOBEL MGMT SA MIV GLOBAL MEDTECH P3 USD R USD,global
IE00BC7GWK81,VULCAN GLOBAL VALU VALUE EQUITY USD II INC NAV USD,global
IE00BZ56SW52,WISDOMTREE ISSUER GLOBAL DEV QUALITY DIV UCIT USD,global
