isin,name,rows,first,last,nonzero_pct,verdict,reason
LU0940328577,BLACKROCK (LUX) SA GLOBAL JAPAN FLXB EQUITY HGD A2 USD,1116,2022-03-07,2026-08-17,86.8,PASS,
LU0280465617,BLACKROCK (LUXEMBOURG) S.A. FIXED INCOME GLOBAL OPPORTUNITIES A5 USD,1116,2022-03-07,2026-08-17,88.6,PASS,
LU2490080954,BLACKROCK GF SYSTEMATIC GLOBAL EQUITY HIGH INCOME FUND D6 INC USD,1026,2022-07-15,2026-08-17,89.7,PASS,
LU0827879924,BLACKROCK GLOBAL (BGF) ESG MULTI ASSET D2 HGD ACC USD,1116,2022-03-07,2026-08-17,88.0,PASS,
LU2943721485,BLACKROCK GLOBAL ALLOCATION FUND D10 INC USD,395,2025-01-21,2026-08-17,96.5,FAIL,rows=395 first=2025-01-21 nz=96.5
LU1564329388,BLACKROCK GLOBAL DYNAMIC HIGH INCOME FUND  D6 USD,1116,2022-03-07,2026-08-17,88.7,PASS,
LU0411709560,BLACKROCK GLOBAL FUNDS SICAV - ASIAN DRAGON FUND D2 ACC USD,1116,2022-03-07,2026-08-17,87.7,PASS,
IE00BK70NJ20,BLACKROCK GLOBAL UNCONSTRAINED EQUITY D ACC USD,1652,2020-01-21,2026-08-17,96.8,PASS,
LU1116320737,BLACKROCK SYSTEMATIC GLOBAL EQUITY HIGH INCOME A6 INC USD,1116,2022-03-07,2026-08-17,88.3,PASS,
LU0724617971,BLACKROCK SYSTEMATIC GLOBAL SMALLCAP D2 ACC USD,1115,2022-03-08,2026-08-17,18.5,FAIL,rows=1115 first=2022-03-08 nz=18.5
LU1542977076,BLUEBAY GLOBAL SOVEREIGN OPPORTUNITIES C ACC USD,1116,2022-03-07,2026-08-17,92.1,PASS,
LU1793345262,BLUEBOX GLOBAL TECHNOLOGY FUND A ACC USD,1116,2022-03-07,2026-08-17,94.8,PASS,
LU2092176275,BLUEBOX GLOBAL TECHNOLOGY FUND CLASS C ACC USD,1116,2022-03-07,2026-08-17,94.8,PASS,
LU0823394779,BNP PARIBAS FUNDS GLOBAL CONVERTIBLE CLASSIC CAPITALISATION USD,1116,2022-03-07,2026-08-17,95.5,PASS,
IE00B3XPRY57,BNY MELLON GLOBAL EQUITY INCOME USD A USD,1916,2019-01-02,2026-08-17,96.4,PASS,
IE00BZ199B46,BNY MELLON GLOBAL INFRASTRUCTURE INCOME FUND W ACC USD,1916,2019-01-02,2026-08-17,95.9,PASS,
IE00BFXG0V08,BNY MELLON GLOBAL LEADERS FUND B ACC USD,1803,2019-06-14,2026-08-17,96.2,PASS,
IE00B504KW82,BNY MELLON GLOBAL REAL RETURN FUND C CLASS ACC USD,1916,2019-01-02,2026-08-17,96.8,PASS,
GG00BPLWQ018,BOWMOOR GLOBAL ALPHA FUND PC D USD,744,2023-08-29,2026-08-17,90.7,PASS,
GG00BLFDKG69,BOWMOOR GLOBAL ALPHA PC PTG I USD ACC USD,650,2024-01-12,2026-08-17,94.0,PASS,
GG00BLFDKJ90,BOWMOOR GLOBAL ALPHA PC PTG K USD ACC USD,631,2024-02-09,2026-08-17,94.5,PASS,
IE00BVVHP563,BROWN ADVISORY FDS GLOBAL LEADERS B USD USD,1916,2019-01-02,2026-08-17,99.0,PASS,
IE00BVVHP670,BROWN ADVISORY FDS GLOBAL LEADERS C USD USD,1916,2019-01-02,2026-08-17,99.0,PASS,
IE00BYPZP462,CANACCORD GEN INV SELECT GLOBAL DIVERSITY R USD ACC USD,1916,2019-01-02,2026-08-17,95.6,PASS,
IE00B3BRDK12,CANACCORD GENUITY CGWM SELECT GLOBAL OPP ACC USD USD,1916,2019-01-02,2026-08-17,95.6,PASS,
IE0003JQ8MH1,CITRINE GLOBAL MULTI-ASSET A ACC USD,770,2023-07-24,2026-08-17,96.0,PASS,
LU0061474960,CT GLOBAL FOCUS AU USD USD,1916,2019-01-02,2026-08-17,95.1,PASS,
LU2000525019,CURATE GLOBAL SUSTAINABLE EQUITY FUND A USD ACC USD,1116,2022-03-07,2026-08-17,92.2,PASS,
LU2000525100,CURATE GLOBAL SUSTAINABLE EQUITY FUND B USD ACC USD,1116,2022-03-07,2026-08-17,92.0,PASS,
IE00B2PC0153,DIMENSIONAL GLOBAL CORE EQUITY USD ACC USD,1916,2019-01-02,2026-08-17,97.5,PASS,
IE0030982627,DIMENSIONAL GLOBAL SHORT FIXED INCOME USD ACC USD,1916,2019-01-02,2026-08-17,97.5,PASS,
IE00BKPWG913,DIMENSIONAL GLOBAL SUSTAINABILITY FIXED INCOME ACC USD,1494,2020-09-03,2026-08-17,97.8,PASS,
IE0002GVBP13,DIMENSIONAL GLOBAL SUSTAINABILITY TARGETED VALUE FUND  ACC USD,695,2023-11-07,2026-08-17,97.8,PASS,
IE00B2PC0609,DIMENSIONAL GLOBAL TARGETED VALUE FUND USD ACC USD,1916,2019-01-02,2026-08-17,97.8,PASS,
IE00BKX45S11,DIMENSIONAL GLOBAL ULTRA SHORT FIXED INCOME FUND ACC USD USD,1039,2022-06-27,2026-08-17,97.9,PASS,
IE00B54PRV58,DODGE & COX WORLDW GLOBAL STOCK USD ACC USD,1916,2019-01-02,2026-08-17,96.1,PASS,
IE00B5568D66,DODGE & COX WORLDWIDE GLOBAL USD ACC USD,1916,2019-01-02,2026-08-17,96.2,PASS,
IE00BN7HSQ61,DVAM GLOBAL EQUITY FOCUS STRATEGY PCP USD A1 ACC USD,1422,2020-12-16,2026-08-17,94.7,PASS,
IE00BN7HST92,DVAM GLOBAL EQUITY FOCUS STRATEGY PCP USD B1 ACC USD,1422,2020-12-16,2026-08-17,94.7,PASS,
IE00BN7HSX39,DVAM GLOBAL EQUITY FOCUS STRATEGY PCP USD D1 ACC USD,1422,2020-12-16,2026-08-17,94.6,PASS,
IE00BN7HT077,DVAM GLOBAL EQUITY FOCUS STRATEGY PCP USD E1 ACC USD,1422,2020-12-16,2026-08-17,94.7,PASS,
IE00BHR3ZV63,DVAM GLOBAL EQUITY INCOME USD A2 INC USD,1906,2019-01-16,2026-08-17,94.9,PASS,
IE00BJ320C74,DVAM GLOBAL EQUITY INCOME USD B2 INC USD,1837,2019-04-26,2026-08-17,94.8,PASS,
IE00BHR3YV98,DVAM GLOBAL EQUITY INCOME USD D2 DIS USD,1896,2019-01-31,2026-08-17,94.9,PASS,
IE00BHR3ZW70,DVAM GLOBAL EQUITY INCOME USD E2 INC USD,1899,2019-01-28,2026-08-17,94.9,PASS,
IE00BMD8GG29,EVELYN GLOBAL BALANCED DIRECT FUND K USD ACC USD,1358,2021-03-22,2026-08-17,92.2,PASS,
IE00BK723D25,EVELYN GLOBAL BALANCED PORTFOLIO A USD ACC USD,1916,2019-01-02,2026-08-17,96.1,PASS,
IE00BK71Y149,EVELYN GLOBAL DEFENSIVE PORTFOLIO RETAIL USD ACC USD,1916,2019-01-02,2026-08-17,96.1,PASS,
IE00BK723095,EVELYN GLOBAL INCOME PORTFOLIO RETAIL USD ACC USD,1916,2019-01-02,2026-08-17,96.1,PASS,
IE000U13NVM5,FED HERMES GLOBAL EMERGING MARKETS EX CHINA EQUITY FUND CLASS M ACC USD,973,2022-09-29,2026-08-17,96.0,PASS,
IE00B3DJ5Q52,FEDERATED HERMES GLOBAL EMERGING MARKETS EQUITY FUND F USD ACCUMULATING USD,1916,2019-01-02,2026-08-17,95.9,PASS,
LU0528227936,FF GLOBAL DEMOGRAPHICS FUND A ACC USD,1116,2022-03-07,2026-08-17,98.7,PASS,
LU1481011911,FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND A INC USD,1116,2022-03-07,2026-08-17,98.5,PASS,
LU0882574303,FIDELITY FUNDS GLOBAL INCOME FUND A ACC USD,1116,2022-03-07,2026-08-17,98.7,PASS,
LU1797663298,FIDELITY FUNDS GLOBAL MULTI ASSET INCOME FUND Y ACC USD,1116,2022-03-07,2026-08-17,98.7,PASS,
LU0390710027,FIDELITY FUNDS GLOBAL SHORT DURATION INCOME FUND A ACC USD,1116,2022-03-07,2026-08-17,98.7,PASS,
