name,category,isin_cur,expected_cur,symbol,symbol_currency,symbol_type,yahoo_longname,cur_symbol_old,n_cands,status,real_cur,real_type,yahoo_longname2,usable
NINETY ONE GLOBAL ST GBL MULTI AST INC A USD ACC USD,GLOBAL,LU1939255532:USD,USD,0P0001GZNK,PNK,Fund,,0P00000R8P,1,SYMBOL_FOUND,USD,MUTUALFUND,Ninety One GSF Global Envir A Acc USD,OK
NINETY ONE GLOBAL ST GBL MULTI AST INC I USD DIS USD,GLOBAL,LU1602119031:USD,USD,0P0001AO48,PNK,Fund,,0P0001RBUZ,1,SYMBOL_FOUND,USD,MUTUALFUND,Ninety One GSF Glbl Crdt Inc S Inc2 USD,OK
NINETY ONE GLOBAL STRATEGY FUND GLOBAL NATURAL RESOURCES FUND I ACC USD,GLOBAL,LU0345781172:USD,USD,0P00009X5L,PNK,Fund,,0P00009X5L,1,SYMBOL_FOUND,USD,MUTUALFUND,Ninety One GSF Glb Ntrl Res I Acc USD,OK
NINETY-ONE GLOBAL ST GLOBAL VALUE EQTY A USD ACC USD,GLOBAL,LU1821900393:USD,USD,0P0001DHC1,PNK,Fund,,0P00000R8P,1,SYMBOL_FOUND,USD,MUTUALFUND,Ninety One Global Strategy Fund - Global Value Equity Fund,OK
NINETY-ONE GS GLOBAL EQUITY A INC USD,GLOBAL,LU0345769987:USD,USD,0P00009NG8,PNK,Fund,,0P00000R8Y,1,SYMBOL_FOUND,USD,MUTUALFUND,Ninety One GSF Glb Equity I Inc USD,OK
PIMCO GIS GLOBAL HIGH YIELD E INC USD USD,GLOBAL,IE0002420739:USD,USD,IE0002420739-USD.LU,LUX,Fund,,0P00006D1H,1,SYMBOL_FOUND,USD,MUTUALFUND,PIMC Fun GHYBF INS,OK
PIMCO GIS GLOBAL INVESTMENT GRADE CREDIT E USD INC USD,GLOBAL,IE0033386453:USD,USD,0P00000WBD,PNK,Fund,,0P00000WBD,1,SYMBOL_FOUND,USD,MUTUALFUND,PIMCO GIS GlInGd Crdt Instl USD Inc,OK
PINEBRIDGE GLOBAL DYNAMIC ASSET ALLOCATION Y USD ACC USD,GLOBAL,IE0034235295:USD,USD,0P000019NH,PNK,Fund,,0P00000RKU,1,SYMBOL_FOUND,USD,MUTUALFUND,PineBridge Glbl Dyn Asset Allc A,OK
PINEBRIDGE GLOBAL EMERGING MARKETS FOCUS EQUITY Y USD ACC USD,GLOBAL,IE0004897173:USD,USD,0P00000RRD,PNK,Fund,,0P00000RRD,1,SYMBOL_FOUND,USD,MUTUALFUND,PineBridge Global Emerg Mkts Foc Eq Y,OK
ROBECO GLOBAL CONSUMER TRENDS EQUITIES CID USD USD,GLOBAL,LU0554840073:USD,USD,,,,,XRQ3.F,0,NO_SYMBOL,,,,NO_SYMBOL
SANDS CAPITAL FUND GLOBAL GROWTH A USD ACC USD,GLOBAL,LU0990495888:USD,USD,,,,,,0,NO_SYMBOL,,,,NO_SYMBOL
Schroder Int Sel Global Energy A Acc USD,GLOBAL,LU0256331488:USD,USD,,,,,0P000019EE,0,NO_SYMBOL,,,,NO_SYMBOL
