isin,name,sheet,classify,symbol,currency,quoteType,longname,hist_rows,hist_first,hist_last,note
LU0209137206,JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A3Q USD USD,global,NOUSD,HZ5Y.F,EUR,ETF,Janus Henderson Horizon - Global Property Equities Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0210534813,JP MORGAN GLOBAL SOCIALLY RESPONSIBLE A ACC USD,global,NOUSD,JYJC.F,EUR,ETF,JPMorgan Funds - Global Socially Responsible Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0089639750,JPMF AM GLOBAL EQUITY A DIST USD USD,global,NOUSD,JYJ2.F,EUR,ETF,JPMorgan Funds - Global Unconstrained Equity Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0432979614,JPMORGAN ASSET MGM GLOBAL HEALTHCARE A ACC USD USD,global,NOUSD,LU0432979614.SG,EUR,MUTUALFUND,JPMorgan Fds-Glob.Healthcar.Fd,,,,份额线 币种=EUR 类型=MUTUALFUND; Yahoo名称搜索无USD份额
LU0266512127,JPMORGAN ASSET MGM GLOBAL NATURAL RESOURCES A USD,global,NOUSD,JP5B.MU,EUR,ETF,JPMorgan Funds - Global Natural Resources Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0068337053,JSS EMERGINGSAR GLOBAL A DIST USD,global,NOUSD,XP62.F,EUR,ETF,JSS Investmentfonds SICAV - JSS Sustainable Equity - Systematic Emerging Markets,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0365089902,JUPITER GLOBAL INDIA SEL L USD USD,global,NOUSD,LU0365089902.SG,EUR,MUTUALFUND,Jupiter India Select - L USD (D,,,,份额线 币种=EUR 类型=MUTUALFUND; Yahoo名称搜索无USD份额
LU1670711040,M&G SECURITIES GLOBAL DIVIDEND A ACC USD,global,NOUSD,AN03.F,EUR,ETF,M&G (Lux) Investment Funds 1 - M&G (Lux) Global Dividend Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0219441499,MFS MERIDIAN FUNDS GLOBAL TOTAL RETURN A1 USD CAP USD,global,NOUSD,FHTF.MU,EUR,ETF,MFS Meridian Funds - Global Total Return Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0868753731,MORGAN STANLEY GLOBAL ADVANTAGE A EUR ACC NAV USD,global,NOUSD,LU0868753731.SG,EUR,MUTUALFUND,Morgan Stanley Investment Funds,,,,份额线 币种=EUR 类型=MUTUALFUND; Yahoo名称搜索无USD份额
LU0953506580,NINETY ONE GLOBAL MULTI-ASSET INC A INC-2 USD,global,NOUSD,I264.MU,EUR,ETF,Ninety One Global Strategy Fund - Global Multi-Asset Income Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0386859887,PICTET FUNDS GLOBAL MEGATREND SELECTION P ACC USD USD,global,NOUSD,PJAT.F,EUR,ETF,Pictet - Global Megatrend Selection,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0215105999,SCHRODER INT SEL GLOBAL EQUITY A USD ACC USD,global,NOUSD,ZJPC.F,EUR,ETF,Schroder International Selection Fund SICAV- Global Equity,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0225283273,Schroder Int Sel Global Equity Alpha A USD Acc USD,global,NOUSD,HV8M.MU,EUR,ETF,Schroder International Selection Fund SICAV - Global Equity Alpha Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0302445910,SCHRODER INV MGMT GLOBAL CLIMATE CHANGE EQUITY A ACC USD USD,global,NOUSD,LU0302445910.SG,EUR,MUTUALFUND,SCHRODER INT-G CLIM CH-AUSDA,,,,份额线 币种=EUR 类型=MUTUALFUND; Yahoo名称搜索无USD份额
LU0203345920,SCHRODER INV MGMT QEP GLOBAL ACTIVE VAL A ACC USD USD,global,NOUSD,XR5K.F,EUR,ETF,Schroder International Selection Fund SICAV - QEP Global Active Value,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0189893794,SCHRODER ISF GLOBAL HIGH YIELD C ACC USD,global,NOUSD,SRVT.F,EUR,ETF,Schroder International Selection Fund SICAV - Global High Yield,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
