isin,name,sheet,classify,symbol,currency,quoteType,longname,hist_rows,hist_first,hist_last,note
LU0390710027,FIDELITY FUNDS GLOBAL SHORT DURATION INCOME FUND A ACC USD,global,FUND_USD,0P0000I1UY,USD,MUTUALFUND,Fidelity Funds - Global Short Duration Income Fund A-Acc-USD,1116,2022-03-07,2026-08-17,Yahoo 无搜索结果; EODHD 257行 2026-08-14->2025-08-18 (非全历史-弃); Yahoo名称匹配 sim=1.00 待复核
LU1711970662,FIDELITY FUNDS SUSTAINABLE GLOBAL DIVIDEND PLUS FUND Y ACC USD,global,FUND_USD,0P0001C2PV,USD,MUTUALFUND,FF - Global Dividend Pl Y Acc USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU2078916223,FIDELITY GLOBAL HEALTH CARE FUND Y ACC USD,global,FUND_USD,0P0001IQZY,USD,MUTUALFUND,Fidelity Global Healthcare Y-Acc-USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0882574568,FIDELITY GLOBAL INC A MINCOME(G) DIS USD,global,FUND_USD,0P0000YEDL,USD,MUTUALFUND,Fidelity Global Income A-MInc(G)-USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU2425919680,FIDELITY GLOBAL INCOME Y MINCOME INC USD,global,FUND_USD,0P0001O8K1,USD,MUTUALFUND,Fidelity Global Income Y-MInc(G)-USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0971096721,FIDELITY LUX GLOBAL FINL SVCS A INC USD,global,FUND_USD,0P0000ZRBU,USD,MUTUALFUND,Fidelity Global Financial Svcs A-Dis-USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1560650563,FIL INV MGMT LUX GLOBAL TECHNOLOGY Y USD ACC USD,global,FUND_USD,0P00019SEJ,USD,MUTUALFUND,Fidelity Global Technology Y-Acc-USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B0169N27,FIRST STATE GLOBAL STEWART INV GLOBAL EMERGING MARKET LEADERS I ACC USD USD,global,FUND_USD,0P00006FEU,USD,MUTUALFUND,Stewart Inv Glbl Em Mkts Ldrs I USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B29SXL02,FIRST STATE GLOBAL UM LISTD INFRASTRUCT I USD DIST USD,global,FUND_USD,0P0000FY9P,USD,MUTUALFUND,First Sentier Glb Lstd Infra I USD Inc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0128525689,FRANKLIN TEMP GLOBAL BAL A ACC USD USD,global,FUND_USD,0P00000KLR,USD,MUTUALFUND,Templeton Glbl Val and Inc A (Acc) USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0300741062,FRANKLIN TEMP GLOBAL HI YLD MDIS \$ USD,global,FUND_USD,0P00009NR9,USD,MUTUALFUND,Templeton Global High Yield A(Mdis)USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B19Z4J92,FTGF GBL BRANDYWNE GLOBAL FIXED INCOME A USD ACC USD,global,FUND_USD,0P000090FO,USD,MUTUALFUND,FTGF BW Glb FI A USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B1BXHP82,FTGF GBL W/A GLOBAL HIGH YIELD A USD ACC USD,global,FUND_USD,0P000090OP,USD,MUTUALFUND,FTGF WA Glb Hi Yld A USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B5NTPS12,GAM STAR GLOBAL BALANCED A USD ACC USD,global,FUND_USD,0P00012ZZQ,USD,MUTUALFUND,GAM Star Glbl Flex A USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B5KPBC88,GAM STAR GLOBAL BALANCED ACC USD USD,global,FUND_USD,0P0000TKJJ,USD,MUTUALFUND,GAM Star Glbl Flex Ord USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B5VMBV77,GAM STAR GLOBAL BALANCED C USD ACC USD,global,FUND_USD,0P0000XAZW,USD,MUTUALFUND,GAM Star Glbl Flex C USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BD6C6V39,GAM STAR GLOBAL BALANCED F USD ACC USD,global,FUND_USD,0P0001AKQL,USD,MUTUALFUND,GAM Star Glbl Flex F USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B5T6XH13,GAM STAR GLOBAL BALANCED INSTL ACC USD,global,FUND_USD,0P0000Y2MR,USD,MUTUALFUND,GAM Star Glbl Flex Instl USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B4KMRV32,GAM STAR GLOBAL BALANCED T USD USD,global,FUND_USD,0P000159TI,USD,MUTUALFUND,GAM Star Glbl Flex T USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0234570918,GOLDMAN SACHS GLOBAL CORE EQUITY PORTFOLIO ACC USD,global,FUND_USD,0P0000JZVO,USD,MUTUALFUND,Goldman Sachs Global CORE Equity Portfolio P Inc USD Snap,1116,2022-03-07,2026-08-17,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称匹配 sim=1.00 待复核
LU0555020303,GOLDMAN SACHS GLOBAL EMERGING MRKTS DEBT HRD CCY CLASS P CAP US\$ USD,global,FUND_USD,0P0000T19I,USD,MUTUALFUND,GS EM Debt HC-P Cap USD,1117,2022-03-04,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1292650279,GOLDMAN SACHS GLOBAL SENIOR LOANS R HEDGED INC USD,global,FUND_USD,0P0001708V,USD,MUTUALFUND,GS Gbl SrLoan Lux-R DisM USD(HG i),1117,2022-03-04,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BH480R51,GQG PARTNERS GLOBAL EQUITY I ACC USD,global,FUND_USD,0P0001F5PL,USD,MUTUALFUND,GQG Partners Global Equity I USD Acc,1913,2019-01-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B2Q91V27,GUINNESS AM GLOBAL ENERGY C USD INC NAV USD,global,FUND_USD,0P0000CUV5,USD,MUTUALFUND,Guinness Global Energy C USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B2Q91T05,GUINNESS AM GLOBAL ENERGY D USD INC NAV USD,global,FUND_USD,0P0000CUUQ,USD,MUTUALFUND,Guinness Global Energy D USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BVYPNW00,GUINNESS AM GLOBAL EQUITY INCOME C USD,global,FUND_USD,0P00015HVX,USD,MUTUALFUND,Guinness Global Equity Income C USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BVYPNX17,GUINNESS AM GLOBAL EQUITY INCOME Y USD,global,FUND_USD,0P00015HW4,USD,MUTUALFUND,Guinness Global Equity Income Y USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BVYPP248,GUINNESS AM GLOBAL EQUITY INCOME Y USD,global,FUND_USD,0P00015HW6,USD,MUTUALFUND,Guinness Global Equity Income Y USD Dist,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BQXX3F31,GUINNESS AM GLOBAL INNOVATORS C ACC USD,global,FUND_USD,0P00014JQA,USD,MUTUALFUND,Guinness Global Innovators C USD ACC,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BQXX3M08,GUINNESS AM GLOBAL INNOVATORS Y ACC USD,global,FUND_USD,0P00014JQC,USD,MUTUALFUND,Guinness Global Innovators Y USD ACC,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B3QG6N78,GUINNESS GAM GLOBAL EQUITY INCOME INC D USD,global,FUND_USD,0P0000SR2S,USD,MUTUALFUND,Guinness Global Equity Inc D USD Dist,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B3CCJC95,GUINNESS GLOBAL ENERGY Y INC USD,global,FUND_USD,0P0000IKH9,USD,MUTUALFUND,Guinness Global Energy Y USD Accumulation,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B42XCP33,GUINNESS GLOBAL EQUITY INCOME FUND C USD USD,global,FUND_USD,0P0000SR2R,USD,MUTUALFUND,Guinness Global Equity Inc C USD Dist,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B3QW5Z07,GUINNESS GLOBAL MONEY MANAGERS C ACC USD,global,FUND_USD,0P0000SR2Y,USD,MUTUALFUND,Guinness Global Money Managers C USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BN0W2W23,GUINNESS GLOBAL QUALITY MID CAP C ACC USD,global,FUND_USD,0P0001LDIA,USD,MUTUALFUND,Guinness Global Quality MidCap C USD Acc,1423,2020-12-15,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BYZ09279,HEPTAGON FUND WCM GLOBAL EQTY A ACC USD,global,FUND_USD,0P0001DIJN,USD,MUTUALFUND,Heptagon Fund ICAV - WCM Global Equity Fund,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BGNBPW89,HSBC GLOBAL FUNDS ICAV US EQUITY INDEX BC ACC USD,global,FUND_USD,0P0001EPQG,USD,MUTUALFUND,HSBC Global Funds ICAV - US Equity Index Fund BC USD,1718,2019-10-15,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0780247804,HSBC GLOBAL INDIA FIX INC ACC USD USD,global,FUND_USD,0P0000WX8I,USD,MUTUALFUND,HSBC GIF India Fixed Income AC,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0323240290,HSBC INV FD LUX SA GLOBAL EQUITY CLIMATE SOLUTIONS A INC USD,global,FUND_USD,0P0000A1MK,USD,MUTUALFUND,HSBC GIF Global Equity Clmt Solu AD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
GB00BNG2HX24,IFSL ARBION GLOBAL OPPORTUNITIES USD ACC USD,global,FUND_USD,0P0001MJ13,USD,MUTUALFUND,IFSL Arbion Global Opports USD Acc,1315,2021-05-21,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0100598878,INVESCO GLOBAL CONSUMER TRENDS C USD USD,global,FUND_USD,0P00000AN0,USD,MUTUALFUND,Invesco Glbl Consmr Trnds C USD Acc,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU2382294648,INVESCO GLOBAL EQUITY FUND C (USD)-ANNUAL DISTRIBUTION USD,global,FUND_USD,0P0001NCMB,USD,MUTUALFUND,Invesco Global Equity C USD AD,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1775982595,INVESCO GLOBAL HEALTH CARE INNOVATION A USD USD,global,FUND_USD,0P0001DK2B,USD,MUTUALFUND,Invesco Funds - Invesco Global Health Care Innovation Fund,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1775952176,INVESCO GLOBAL HEALTH CARE INNOVATION FUND C AD USD,global,FUND_USD,0P0001DK29,USD,MUTUALFUND,Invesco Funds - Invesco Global Health Care Innovation Fund,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU2110297061,INVESCO GLOBAL INCOME A INC USD,global,FUND_USD,0P0001JDPY,USD,MUTUALFUND,Invesco Global Income A USDH MD1,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU2708676429,INVESCO SUSTAINABLE GLOBAL INCOME C HEDGED ACC USD,global,FUND_USD,0P0001RV5E,USD,MUTUALFUND,Invesco Transition Glbl Inc C USD H Acc,678,2023-12-01,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B89JY234,J O HAMBRO CAP GLOBAL OPPS A USD INC NAV USD,global,FUND_USD,0P0000WF8P,USD,MUTUALFUND,JOHCM Global Opps Offshore IP USD Inc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BFRSYS74,JANUS HENDERSON GLOBAL TECHNOLOGY AND INNOVATION FUND H2 USD ACC USD,global,FUND_USD,0P0000ZTNG,USD,MUTUALFUND,Janus Henderson Glb Tech&Inno H2 USD,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0209137388,JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A2 USD USD,global,FUND_USD,0P0000193V,USD,MUTUALFUND,Janus Henderson Horizon Global Property Equities Fund A2 USD,1115,2022-03-08,2026-08-17,份额线 币种=EUR 类型=MUTUALFUND; Yahoo名称匹配 sim=1.00 待复核
LU0209137628,JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND I2 USD USD,global,FUND_USD,0P00001D1G,USD,MUTUALFUND,Janus Henderson Hrzn GlblPtyEqsI2USD,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0209158467,JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND A1 USD USD,global,FUND_USD,0P0000GOQK,USD,MUTUALFUND,Janus Henderson Horizon Global Technology Leaders Fund I2 USD,1115,2022-03-08,2026-08-17,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称匹配 sim=1.00 待复核
LU0070992663,JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND A2 USD USD,global,FUND_USD,0P0000GOQK,USD,MUTUALFUND,Janus Henderson Horizon Global Technology Leaders Fund I2 USD,1115,2022-03-08,2026-08-17,Yahoo 无搜索结果; EODHD 251行 2026-08-17->2025-08-18 (非全历史-弃); Yahoo名称匹配 sim=1.00 待复核
LU0828813369,JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND H2 USD USD,global,FUND_USD,0P0000YFYK,USD,MUTUALFUND,Janus Henderson Hrzn GlbTechLdrs H2USD,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0329202922,JPM IF GLOBAL DIVIDEND C ACC USD,global,FUND_USD,0P0000XC5F,USD,MUTUALFUND,JPM Global Dividend C acc USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0432979887,JPMORGAN ASSET MGM GLOBAL HEALTHCARE C ACC USD USD,global,FUND_USD,0P0000LZRE,USD,MUTUALFUND,JPM Global Healthcare C acc USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0210533765,JPMORGAN GLOBAL GROWTH FUND A USD ACC USD,global,FUND_USD,0P000019C1,USD,MUTUALFUND,JPMorgan Funds - Global Growth Fund A (acc) - USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU2402382688,JPMORGAN GLOBAL RESEARCH ENHANCED INDEX EQUITY A ACC USD,global,FUND_USD,0P0001P9BJ,USD,MUTUALFUND,JPM Glbl Rsrch Enh Idx Eq A acc USD,1043,2022-06-21,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1181866309,JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS A HGD USD,global,FUND_USD,0P00015EF8,USD,MUTUALFUND,JPM Global Macro Opps A acc USD Hdg,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1378862947,JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS C USD ACC USD,global,FUND_USD,0P00017QY7,USD,MUTUALFUND,JPM Global Macro Opps C acc USD Hdg,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE0031386414,JUPITER GLOBAL FIXED INCOME FUND L USD ACC USD,global,FUND_USD,0P00000MMB,USD,MUTUALFUND,Jupiter Global Fixed Inc L USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0966834136,JUPITER GLOBAL FUND EUROPEAN GTH L ACC USD USD,global,FUND_USD,0P0000ZQW9,USD,MUTUALFUND,Jupiter European Select L USD Hsc Acc,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0262307720,JUPITER GLOBAL FUND JUPITER FINANCIAL INNOVATION L USD ACC NAV USD,global,FUND_USD,0P00009V34,USD,MUTUALFUND,Jupiter Financial Innovt L USD Acc,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BLP5S684,JUPITER MERIAN GLOBAL EQUITY ABSOLUTE RETURN FUND I USD ACC USD,global,FUND_USD,0P0001339A,USD,MUTUALFUND,Jupiter Merian Glb Eq Abs Rt I USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BLP5S353,JUPITER MERIAN GLOBAL EQUITY ABSOLUTE RETURN FUND L USD ACC USD,global,FUND_USD,0P00013397,USD,MUTUALFUND,Jupiter Merian Glb Eq Abs Rt L USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BYM85152,Jupiter Merian Global Equity Income Fund (IRL) L USD Inc USD,global,FUND_USD,0P00016I3U,USD,MUTUALFUND,Jupiter Merian Glb Eq Inc (IRL) L $ Inc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B3X5FG30,LAZARD GLOBAL LISTED INFRA EQUITY A ACC USD HEDG USD,global,FUND_USD,0P0000WF31,USD,MUTUALFUND,Lazard Glbl Lstd Infras Eq A Acc USD H,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BDX8CQ10,LAZARD GLOBAL LISTED INFRA EQUITY A DST US\$ HDG USD,global,FUND_USD,0P0000ZK4A,USD,MUTUALFUND,Lazard Glbl Lstd Infras Eq A Dist USD H,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BF4KN675,LAZARD GLOBAL LISTED INFRASTRUCTURE EQUITY FUND A ACC USD,global,FUND_USD,0P0001CL1T,USD,MUTUALFUND,Lazard Glbl Lstd Infras Eq A Acc USD,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BK4Z4V95,LINDSELL TRAIN LTD GLOBAL EQUITY C USD,global,FUND_USD,0P00013W6Y,USD,MUTUALFUND,Lindsell Train Global Equity C USD Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BK6SH736,LIONTRUST GF SUSTAINABLE FUTURE GLOBAL GROWTH FUND B5 ACC USD USD,global,FUND_USD,0P0001IRLX,USD,MUTUALFUND,Liontrust GF Sust Fut Glb Gr B5 Acc USD,1698,2019-11-12,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1531595301,M&G (LUX) GLOBAL TARGET RETURN FUND C H ACC USD,global,FUND_USD,0P00019IT4,USD,MUTUALFUND,M&G (Lux) Global Target Return C USDhAcc,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
GB00B1RXYT55,M&G INVESTMENT MAN GLOBAL THEMES A USD ACC USD,global,FUND_USD,0P000084HG,USD,MUTUALFUND,M&G Global Themes USD A Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE000XOE1GE5,MAN GLOBAL INVESTMENT GRADE OPPORTUNITIES I ACC USD,global,FUND_USD,0P0001NSAP,USD,MUTUALFUND,Man GlInGd Opports I USD Acc,1195,2021-11-10,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
GB00BQC4KH86,MGTS PROGENY PROFOLIO GLOBAL 30-50% SHARES FUND ACC USD,global,FUND_USD,0P0001R09R,USD,MUTUALFUND,MGTS Progeny ProFolio Global 30-50% Shares Fund,817,2023-05-15,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU2000523741,MOMENTUM GF HARMONY GLOBAL EQUITY FUND A ACC USD,global,FUND_USD,0P0001JAD6,USD,MUTUALFUND,Momentum GF Global Equity A USD Acc,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BNGJKV20,MONTLAKE ORIEL LATITUDE GLOBAL FUNDS I USD ACC USD,global,FUND_USD,0P0001LF07,USD,MUTUALFUND,Latitude Global Fund,1417,2020-12-23,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0868754200,MORGAN STANLEY GLOBAL ADVANTAGE FUND Z ACC USD,global,FUND_USD,0P0000Y00A,USD,MUTUALFUND,Morgan Stanley Investment Funds - Global Insight Fund,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0176160306,MORGAN STANLEY GLOBAL BRANDS C USD,global,FUND_USD,0P0000MWCC,USD,MUTUALFUND,MS INVF Global Brands C,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0360482987,MORGAN STANLEY IF GLOBAL BRANDS Z ACC NAV USD,global,FUND_USD,0P0000HNHG,USD,MUTUALFUND,Morgan Stanley Investment Funds - Global Brands Fund Z,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0834154790,MORGAN STANLEY IF GLOBAL OPP I ACC NAV USD,global,FUND_USD,0P0000X57B,USD,MUTUALFUND,MS INVF Global Opportunity I,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0130103749,NATIXIS INTL (LUX) HARRIS ASSOCS GLOBAL EQUITY I ACC USD,global,FUND_USD,0P00000JWF,USD,MUTUALFUND,Harris Associates Global Eq I/A USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00B98FL735,NEUBERGER BERMN II GLOBAL SNR FTG RTE INC I US USD,global,FUND_USD,0P0000YVJG,USD,MUTUALFUND,Neuberger Glbl Sr Fl Rt Inc USD I Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE0033116462,NEW CAPITAL GLOBAL VALUE CREDIT FUND USD,global,FUND_USD,0P000025ZS,USD,MUTUALFUND,New Capital Glbl Val Crdt USD Ord Acc,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BF2F6980,NEW HORIZON GLOBAL BALANCED FUND C USD ACC USD,global,FUND_USD,0P0001D65I,USD,MUTUALFUND,New Horizon Global Balanced C USD,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BDZ2QR06,NEW HORIZON GLOBAL BALANCED FUND F USD ACC USD,global,FUND_USD,0P0001F4JU,USD,MUTUALFUND,New Horizon Global Balanced F USD,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BJSFB519,NEW HORIZON GLOBAL BALANCED FUND M USD ACC USD,global,FUND_USD,0P0001HP1W,USD,MUTUALFUND,New Horizon Global Balanced M USD,1828,2019-05-09,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE000MRJHBY1,NEW HORIZON GLOBAL INNOVATION D ACC USD,global,FUND_USD,0P0001SJG9,USD,MUTUALFUND,,490,2024-09-03,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BM97L808,NEXT GEN INVT STRA MORNINGSTAR GLOBAL ADVENTUROUS A USD ACC USD,global,FUND_USD,0P0001JS5C,USD,MUTUALFUND,Next Gnrtn Mrnngstr Glb Advntrs A USD,1547,2020-06-19,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BM97L352,NEXT GEN INVT STRA MORNINGSTAR GLOBAL BALANCED A USD ACC USD,global,FUND_USD,0P0001JS5H,USD,MUTUALFUND,Next Generation Morningstr Glb Bal A USD,1547,2020-06-19,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BM97KY96,NEXT GEN INVT STRA MORNINGSTAR GLOBAL CAUTIOUS A USD ACC USD,global,FUND_USD,0P0001JS5M,USD,MUTUALFUND,Next Generation Morningstr Glb Cau A USD,1547,2020-06-19,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BD85VQ07,NG MORNINGSTAR GLOBAL DEFENSIV A USD ACC USD,global,FUND_USD,0P00017YVO,USD,MUTUALFUND,Next Generation MS Global Defensv A USD,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE00BD85V827,NG MORNINGSTAR GLOBAL GROWTH A USD ACC USD,global,FUND_USD,0P00017YVR,USD,MUTUALFUND,Next Generation MS Global Gr A USD,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0345770563,NINETY-ONE GLOBAL ST GBL STRAT EQUITY I ACC USD,global,FUND_USD,0P00009X6N,USD,MUTUALFUND,Ninety One GSF Glb Strat Eq I Acc USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0696274553,NINETY-ONE GLOBAL ST GLOBAL VALUE EQTY A USD ACC USD,global,FUND_USD,0P0000URB0,USD,MUTUALFUND,Ninety One GSF Glb Value Eq A Acc USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0641506000,NINETY-ONE GLOBAL ST UK ALPHA I USD ACC USD,global,FUND_USD,0P0000TL13,USD,MUTUALFUND,Ninety One GSF UK Alpha I Acc USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0439319624,NINETY-ONE GLOBAL ST US DOLLAR MONEY I USD ACC USD,global,FUND_USD,0P0000SF11,USD,MUTUALFUND,Ninety One GSF US Dollar Money I Acc USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0345769631,NINETY-ONE GS GLOBAL EQUITY A INC USD,global,FUND_USD,0P00000R8Q,USD,MUTUALFUND,Ninety One GSF Glb Equity A Inc USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
GB00B12GL767,NINETY ONE FD MGRS GLOBAL GOLD A USD ACC USD,global,FUND_USD,0P00006EYA,USD,MUTUALFUND,Ninety One Global Gold A Acc USD,1916,2019-01-02,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU2298064838,NINETY ONE GLOBAL ENVIROMENT FUND A ACC USD,global,FUND_USD,0P0001LQKA,USD,MUTUALFUND,Ninety One GSF Global Envir A Inc USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0345769128,NINETY ONE GLOBAL EQUITY A ACC USD USD,global,FUND_USD,0P00001O2Q,USD,MUTUALFUND,Ninety One GSF Glb Equity A Acc USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0345781503,NINETY ONE GLOBAL NATURAL RESOURCES C INC USD,global,FUND_USD,0P00009X5O,USD,MUTUALFUND,Ninety One GSF Glb Ntrl Res C Inc USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0947747993,NINETY ONE GLOBAL ST GBL MULTI ASSET INC IX INC USD,global,FUND_USD,0P0000Z7HY,USD,MUTUALFUND,Ninety One GSF Glb Mang Inc IX Inc-2 USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0972617095,NINETY ONE GLOBAL ST GBL MULTI AST INC A USD ACC USD,global,FUND_USD,0P0000ZOL0,USD,MUTUALFUND,Ninety One GSF Glb Mang Inc A Acc USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
