name,category,isin,ft_name,yahoo_symbol
NINETY-ONE GLOBAL ST US DOLLAR MONEY I USD ACC USD,GLOBAL,LU0439319624,Ninety One Global Strategy Fund - US Dollar Money Fund I Acc USD,0P0000SF11
NINETY-ONE GS GLOBAL EQUITY A INC USD,GLOBAL,LU0345770993,Ninety One Global Strategy Fund - Global Strategic Equity Fund A Inc USD,0P00000R8Y
NSF SICAV WEALTH DEFENDER GLOBAL EQUITY FUND C USD ACC USD,GLOBAL,LU2637817243,NSF SICAV Wealth Defender Glbl Eq C USD,0P0001SAYJ
NSF WEALTH DEFENDER GLOBAL EQUITY A ACC USD,GLOBAL,LU1347437607,NSF SICAV Wealth Defender Global Equity Fund A USD,0P0001CXPX
PICTET GLOBAL ENVIRONMENTAL OPPORTUNITIES I USD ACC USD,GLOBAL,LU1901200318,Pictet - Global Environmental Opportunities I dy USD,0P0001EVPJ
PICTET-GLOBAL ENVIRONMENTAL OPPORTUNITIES HP ACC USD,GLOBAL,LU0503633330,Pictet - Global Environmental Opportunities HP USD,0P0001CKEL
PIMCO GIS GLOBAL HIGH YIELD E INC USD USD,GLOBAL,IE0002420739,PIMCO GIS Global High Yield Bond Fund Institutional USD Accumulation,0P00006D1H
PIMCO GIS GLOBAL INV GRADE CREDIT INST INC USD USD,GLOBAL,IE0034085260,PIMCO GIS Global Investment Grade Credit Fund Institutional USD Accumulation,0P0000HOIQ
PIMCO GIS GLOBAL INVEST GRADE CREDIT INST ACC USD USD,GLOBAL,IE0034085260,PIMCO GIS Global Investment Grade Credit Fund Institutional USD Accumulation,0P0000HOIQ
PIMCO GIS GLOBAL INVESTMENT GRADE CREDIT E USD INC USD,GLOBAL,IE0033386453,PIMCO GIS Global Investment Grade Credit Fund Institutional USD Income,0P00000WBD
PINEBRIDGE GLOBAL DYNAMIC ASSET ALLOCATION Y USD ACC USD,GLOBAL,IE0007357332,PineBridge Global Dynamic Asset Allocation Fund Y,0P00000RKU
