ticker,n_strategies,constraints_met,base_full_avg,base_full_trades,base_full_hit,base_frozen_avg,base_frozen_trades,base_frozen_hit,sel_full_avg,sel_full_trades,sel_full_hit,sel_frozen_avg,sel_frozen_trades,sel_frozen_hit,density_full_req,density_frozen_req
UAPIX,3,True,0.13963563265465717,5176,0.5367078825347759,0.18128018730941414,392,0.5459183673469388,0.32680616465354856,2090,0.5550239234449761,0.8560124116876302,108,0.6388888888888888,200,40
UAPSX,3,True,0.14063673244801433,5146,0.5386708122813836,0.15338531846450076,392,0.5331632653061225,0.3429842230628693,1953,0.5637480798771122,0.6503711830304157,153,0.6470588235294118,200,40
UBPIX,3,True,0.13338873144906935,4386,0.5150478796169631,0.33416820853418283,393,0.5674300254452926,0.4619363725305554,1065,0.571830985915493,0.4525032202185392,157,0.5796178343949044,200,40
UBPSX,3,True,0.1213661266769523,4372,0.5139524245196706,0.3264018090273307,393,0.5648854961832062,0.45724363572147847,1065,0.5699530516431925,0.4464558276780469,157,0.5732484076433121,200,40
UCPIX,1,True,0.3188250673844444,132,0.553030303030303,0.3119471173971214,33,0.6666666666666666,0.3188250673844444,132,0.553030303030303,0.3119471173971214,33,0.6666666666666666,120,30
UCPSX,1,True,0.27314627834677135,239,0.5564853556485355,0.5827449668738705,80,0.6375,0.3837824191168044,124,0.5645161290322581,0.5944559487177534,58,0.603448275862069,120,30
UDPIX,3,True,0.09782594239458826,5151,0.5383420695010678,0.13029933910529715,393,0.5470737913486005,0.39624455613609094,1192,0.5796979865771812,0.4497605657589058,149,0.6241610738255033,200,40
UDPSX,3,True,0.08814877464787761,5093,0.5374042803848419,0.12554944983127497,392,0.5459183673469388,0.39249432215810215,1170,0.5777777777777777,0.4458426716552753,149,0.6241610738255033,200,40
UEPIX,1,True,0.19232848998732385,919,0.5712731229597389,0.20406101680439984,201,0.5771144278606966,0.42067837659488816,128,0.59375,0.410993113988879,76,0.631578947368421,120,30
UEPSX,1,True,0.17748213388005862,948,0.5759493670886076,0.22785842596567144,197,0.6040609137055838,0.41068305989173765,141,0.5957446808510638,0.40491331892520915,76,0.631578947368421,120,30
UFPIX,1,True,0.18682334948140805,1048,0.5591603053435115,0.18729753138016278,144,0.5625,0.24212589430949344,435,0.5609195402298851,0.26210362829664585,48,0.5625,120,30
UFPSX,1,True,0.2035719079143445,974,0.5595482546201233,0.2754534984093567,134,0.5746268656716418,0.23775407696753612,435,0.5655172413793104,0.25983883881608066,48,0.5833333333333334,120,30
UGPIX,3,True,0.1330999070222776,4300,0.5274418604651163,0.24258902713758548,385,0.5064935064935064,0.44935744417565116,1315,0.5612167300380229,0.7574267227293415,127,0.5275590551181102,200,40
UGPSX,3,True,0.1297182882788602,4272,0.5276217228464419,0.29350405416333886,380,0.5184210526315789,0.42989220826464447,1432,0.5712290502793296,0.791676865989924,121,0.5619834710743802,200,40
UHPIX,3,True,0.10916342600898213,2624,0.5240091463414634,0.13447139725880572,371,0.5444743935309974,0.41240695438179775,860,0.5662790697674419,0.37537724892601726,194,0.5773195876288659,200,40
UHPSX,3,True,0.13275514807991165,2503,0.5165801038753496,0.12837703451299468,370,0.5162162162162162,0.37107982012289026,953,0.5613850996852047,0.29160542725095595,171,0.5672514619883041,200,40
UIPIX,1,True,0.2475880152961724,125,0.552,0.2212616408887753,34,0.6764705882352942,0.2475880152961724,125,0.552,0.2212616408887753,34,0.6764705882352942,120,30
UIPSX,1,True,0.2768327444317929,243,0.551440329218107,0.3329134018053006,65,0.6307692307692307,0.23490920787922834,153,0.5555555555555556,0.5261029859106525,38,0.6052631578947368,120,30
