ticker,n_strategies,constraints_met,base_full_avg,base_full_trades,base_full_hit,base_frozen_avg,base_frozen_trades,base_frozen_hit,sel_full_avg,sel_full_trades,sel_full_hit,sel_frozen_avg,sel_frozen_trades,sel_frozen_hit
RRPSX,1,True,0.29149180272618985,196,0.5510204081632653,0.23215453645208514,33,0.5757575757575758,0.29149180272618985,196,0.5510204081632653,0.23215453645208514,33,0.5757575757575758
SGPIX,3,True,0.10303953350269991,2658,0.5338600451467269,0.08686928533607034,306,0.5228758169934641,0.266501021977358,523,0.5793499043977055,0.4972969864110783,74,0.6486486486486487
SGPSX,3,True,0.11340951502773935,2572,0.5353810264385692,0.09236045921793534,306,0.5261437908496732,0.2432172954803686,510,0.5686274509803921,0.5337232401304012,70,0.6714285714285714
SLPIX,3,True,0.11898532146788272,2688,0.5383184523809523,0.12950938159362038,310,0.5516129032258065,0.24813510320162038,570,0.5807017543859649,0.4702167538671914,74,0.6216216216216216
SLPSX,4,True,0.12785581938138418,2753,0.539048310933527,0.14337230922701558,340,0.5529411764705883,0.22305916576015666,936,0.5523504273504274,0.3088261927099193,208,0.5961538461538461
SMPIX,3,True,0.14546503157798232,5658,0.5268646164722517,0.31662250756871474,394,0.5685279187817259,0.637415426803429,828,0.5833333333333334,1.0419221688552174,144,0.6041666666666666
SMPSX,3,True,0.13701283108684226,5693,0.5280168628139821,0.33057322147026613,394,0.5710659898477157,0.6694991185933853,558,0.6039426523297491,0.8876062408314666,86,0.6511627906976745
SNPIX,3,True,0.17609747008191753,509,0.555992141453831,0.32043571798836706,115,0.5652173913043478,0.23755329922421403,228,0.5526315789473685,0.42225669214398726,76,0.5789473684210527
SNPSX,3,True,0.12284763130527863,628,0.5286624203821656,0.23678336064953617,140,0.5285714285714286,0.26547285556120936,328,0.5579268292682927,0.43063572253931476,83,0.5662650602409639
SPPIX,3,True,0.16841930163824642,847,0.5560802833530106,0.22038745102128496,127,0.5039370078740157,0.22876171623925007,698,0.5630372492836676,0.2965516013859242,97,0.5051546391752577
SPPSX,3,True,0.19416882374218875,831,0.5547533092659447,0.2805051134509952,131,0.5267175572519084,0.2291132895401059,594,0.5622895622895623,0.31064137018796895,103,0.5339805825242718
SVPIX,3,True,0.14022473930137744,2485,0.5420523138832998,0.07378950662820914,288,0.5416666666666666,0.2526491290939945,506,0.5711462450592886,0.48577461600200633,67,0.6417910447761194
SVPSX,3,True,0.13575713664384645,2105,0.5415676959619953,0.08779117343435008,276,0.5507246376811594,0.2612103692078572,520,0.573076923076923,0.4807632354093682,67,0.6268656716417911
TEPIX,3,True,0.10368888701760519,5293,0.5441148686945022,0.20269235658912957,395,0.5949367088607594,0.4332624390171779,428,0.6144859813084113,0.5694399662387836,73,0.6164383561643836
TEPSX,3,True,0.09994647354659773,5202,0.5407535563244906,0.21488731123402474,394,0.5939086294416244,0.4199217352832511,476,0.6050420168067226,0.42442004455357984,94,0.5851063829787234
UAPIX,3,True,0.13963563265465717,5176,0.5367078825347759,0.18128018730941414,392,0.5459183673469388,0.3385896784362323,1608,0.554726368159204,1.0214607745418167,93,0.6451612903225806
UAPSX,3,True,0.14063673244801433,5146,0.5386708122813836,0.15338531846450076,392,0.5331632653061225,0.2863171488437096,1703,0.546095126247798,0.8457148686917282,93,0.6129032258064516
UBPIX,3,True,0.13338873144906935,4386,0.5150478796169631,0.33416820853418283,393,0.5674300254452926,0.7564360113538059,379,0.5672823218997362,0.7202916953753447,104,0.5865384615384616
UBPSX,3,True,0.1213661266769523,4372,0.5139524245196706,0.3264018090273307,393,0.5648854961832062,0.6844852441630767,427,0.5597189695550351,0.7151806961261624,104,0.5865384615384616
UCPIX,1,True,0.3188250673844444,132,0.553030303030303,0.3119471173971214,33,0.6666666666666666,0.3188250673844444,132,0.553030303030303,0.3119471173971214,33,0.6666666666666666
UCPSX,2,True,0.27314627834677135,239,0.5564853556485355,0.5827449668738705,80,0.6375,0.27314627834677135,239,0.5564853556485355,0.5827449668738705,80,0.6375
UDPIX,3,True,0.09782594239458826,5151,0.5383420695010678,0.13029933910529715,393,0.5470737913486005,0.38668187202570686,1005,0.5771144278606966,0.4656915777737755,104,0.6153846153846154
UDPSX,3,True,0.08814877464787761,5093,0.5374042803848419,0.12554944983127497,392,0.5459183673469388,0.3832140185618733,1004,0.5756972111553785,0.4620866985359603,104,0.6153846153846154
UEPIX,3,True,0.19232848998732385,919,0.5712731229597389,0.20406101680439984,201,0.5771144278606966,0.34257842853287024,328,0.5823170731707317,0.3945920571114692,77,0.6233766233766234
UEPSX,3,True,0.17748213388005862,948,0.5759493670886076,0.22785842596567144,197,0.6040609137055838,0.3051108472256847,296,0.5878378378378378,0.40491331892520915,76,0.631578947368421
UFPIX,3,True,0.18682334948140805,1048,0.5591603053435115,0.18729753138016278,144,0.5625,0.2090551769150202,734,0.5613079019073569,0.34504153371778695,83,0.5542168674698795
UFPSX,3,True,0.2035719079143445,974,0.5595482546201233,0.2754534984093567,134,0.5746268656716418,0.20388737278940552,734,0.5626702997275205,0.343308853087537,83,0.5662650602409639
UGPIX,3,True,0.1330999070222776,4300,0.5274418604651163,0.24258902713758548,385,0.5064935064935064,0.6513186246856107,620,0.5516129032258065,0.9647087493394662,64,0.53125
UGPSX,3,True,0.1297182882788602,4272,0.5276217228464419,0.29350405416333886,380,0.5184210526315789,0.9502302701676215,336,0.5863095238095238,1.2528082433895191,60,0.5833333333333334
UHPIX,3,True,0.10916342600898213,2624,0.5240091463414634,0.13447139725880572,371,0.5444743935309974,0.5644000396543106,523,0.5621414913957935,0.7678177120947521,124,0.5887096774193549
