ticker,fund_group,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,abs_full_avg
CYPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.39249029574651473,398,0.628140703517588,0.5271144393097938,72,0.6666666666666666,0.39249029574651473
ENPIX,long,sparse,SPY_bin_-1_-0.5,1,0.39155406130666975,183,0.6174863387978142,0.6544093975461401,33,0.7272727272727273,0.39155406130666975
ENPSX,inverse,sparse,SPY_bin_-1_-0.5,1,0.37761956880464786,178,0.6179775280898876,0.6455844040065545,33,0.7272727272727273,0.37761956880464786
FNPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.4704235674630244,299,0.5919732441471572,0.3330518083082811,72,0.6111111111111112,0.4704235674630244
FNPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.47810347128399855,307,0.5895765472312704,0.3247718867950551,72,0.6111111111111112,0.47810347128399855
FYAIX,long,sparse,ext_vix_chg_ge5,1,0.3139592015267064,990,0.793939393939394,0.27771209447715833,89,0.8539325842696629,0.3139592015267064
FYASX,inverse,sparse,ext_vix_chg_ge5,1,0.31506795708281854,990,0.7919191919191919,0.2758473334963046,89,0.8539325842696629,0.31506795708281854
HCPIX,pair_scan,pair_scan,LQD_up_XLK_down,1,0.24989923290568306,333,0.5585585585585585,0.3901285748610608,71,0.5774647887323944,0.24989923290568306
HCPSX,pair_scan,pair_scan,QQQ_down_XLF_up,2,0.23830809779974277,251,0.6175298804780877,0.29771877948849607,67,0.6567164179104478,0.23830809779974277
IDPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.385219388084639,337,0.5816023738872403,0.5508128048438667,72,0.6527777777777778,0.385219388084639
IDPSX,pair_scan,pair_scan,GDX_up_XLK_down,1,0.3473203361018804,527,0.6148007590132827,0.6745503371487782,75,0.68,0.3473203361018804
INPIX,pair_scan,pair_scan,TIP_up_TLT_down,1,0.5498677457477297,172,0.622093023255814,0.4403106787005474,42,0.5952380952380952,0.5498677457477297
INPSX,pair_scan,pair_scan,TIP_up_TLT_down,1,0.5453034361223891,172,0.6162790697674418,0.43674952402770273,42,0.5714285714285714,0.5453034361223891
LGPIX,long,main,XLK_bin_lt-2,1,0.24875883907046253,271,0.5830258302583026,0.4321539253388065,41,0.6097560975609756,0.24875883907046253
LGPSX,inverse,main,XLK_bin_lt-2,1,0.24446391683503585,271,0.5830258302583026,0.4275894898214412,41,0.6097560975609756,0.24446391683503585
LVPIX,long,gap_extra,ext_vix_chg_ge5,1,1.006224334678444,990,0.897979797979798,0.7860604287503701,89,0.9213483146067416,1.006224334678444
LVPSX,inverse,gap_extra,ext_vix_chg_ge5,1,1.0044854373165195,990,0.8949494949494949,0.7817030207930407,89,0.9213483146067416,1.0044854373165195
MDPIX,pair_scan,pair_scan,GDX_up_XLK_down,1,0.2452799078790785,501,0.5948103792415169,0.41595893451162624,75,0.6533333333333333,0.2452799078790785
MDPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.24084937207772636,398,0.5577889447236181,0.3215000110896491,72,0.5833333333333334,0.24084937207772636
