ticker,fund_group,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,abs_full_avg,pass,tokens
UDPSX,,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.7607156810698377,195,0.6666666666666666,0.8324836220718327,48,0.6875,0.7607156810698377,,
UEPIX,pair_scan,pair_scan,GDX_up_SPY_down,1,0.4206783765948881,128,0.59375,0.410993113988879,76,0.631578947368421,0.4206783765948881,,
UEPSX,pair_scan,pair_scan,GDX_up_SPY_down,1,0.4106830598917376,141,0.5957446808510638,0.4049133189252091,76,0.631578947368421,0.4106830598917376,,
UFPIX,ultra_long,triple_scan,JNK_down_down_up_LQD_XLV,2,0.2860321091131218,303,0.5808580858085809,0.4795577502657645,38,0.5526315789473685,0.2860321091131218,True,
UFPSX,inverse,triple_scan,JNK_down_down_up_LQD_XLV,2,0.2811816217558483,303,0.5775577557755776,0.4774573712183044,38,0.5526315789473685,0.2811816217558483,True,
UGPIX,ultra_long,triple_scan,QQQ_down_down_down_UUP_XLE,1,1.1686116036453986,195,0.5897435897435898,1.372463591378508,30,0.5666666666666667,1.1686116036453986,True,
UGPSX,inverse,triple_scan,QQQ_down_down_down_UUP_XLE,1,1.157335479620609,195,0.5897435897435898,1.3644902335481783,30,0.5666666666666667,1.157335479620609,True,
UHPIX,ultra_long,triple_scan,TIP_down_up_down_UUP_XLE,1,0.8612781866487544,128,0.609375,1.6751103194192205,41,0.6585365853658537,0.8612781866487544,True,
UHPSX,inverse,triple_scan,TIP_down_up_down_UUP_XLE,1,0.8301187700187769,128,0.6015625,1.5847312339928583,41,0.6341463414634146,0.8301187700187769,True,
UJPIX,pair_scan,pair_scan,HYG_down_XLK_down,1,1.3112354301594886,127,0.6299212598425197,0.9386572980659892,100,0.65,1.3112354301594886,,
UJPSX,inverse,triple_scan,QQQ_down_down_down_SPY_XLV,1,0.945254925778812,127,0.6299212598425197,1.1312308595201008,85,0.6470588235294118,0.945254925778812,True,
UKPIX,ultra_long,triple_scan,QQQ_up_up_down_SPY_TIP,2,0.2711573753509887,209,0.569377990430622,0.7745293137099802,40,0.6,0.2711573753509887,True,
UKPSX,inverse,triple_scan,QQQ_up_up_down_SPY_TIP,2,0.3899149966596362,181,0.585635359116022,0.7678283507889103,40,0.6,0.3899149966596362,True,
ULPIX,,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.7947168985049337,191,0.6335078534031413,0.8326644018135004,48,0.6041666666666666,0.7947168985049337,,
ULPSX,,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.8606417692629985,168,0.625,0.8276019648300196,48,0.6041666666666666,0.8606417692629985,,
UMPIX,ultra_long,triple_scan,GDX_up_down_down_XLK_XLU,1,0.7601035932933276,153,0.6013071895424836,1.273292383679829,36,0.6666666666666666,0.7601035932933276,True,
UMPSX,inverse,triple_scan,GDX_up_down_down_XLK_XLU,1,0.8371194456698327,149,0.6040268456375839,1.2678553447163412,36,0.6666666666666666,0.8371194456698327,True,
UNPIX,,condition_expansion,combo_XLK_down__ext_usd_gold_ratio_le-1,1,0.6595963522628482,124,0.5967741935483871,0.823919748675604,39,0.6410256410256411,0.6595963522628482,,
UNPSX,pair_scan,pair_scan,HYG_down_XLE_down,2,0.6306695275747989,154,0.6233766233766234,0.4674082068212107,76,0.6578947368421053,0.6306695275747989,,
UOPIX,,condition_expansion,combo_HYG_down__ext_usd_gold_ratio_le-1,1,0.9616462023055252,143,0.6013986013986014,0.6123879989076908,44,0.5681818181818182,0.9616462023055252,,
UOPSX,,condition_expansion,combo_HYG_down__ext_usd_gold_ratio_le-1,1,0.9571930095133716,143,0.6013986013986014,0.609546408188511,44,0.5681818181818182,0.9571930095133716,,
USPIX,ultra_long,triple_scan,EEM_up_up_up_SLV_XLV,1,0.4974752942527228,136,0.5661764705882353,0.6852998567451373,61,0.5901639344262295,0.4974752942527228,True,
