ticker,fund_group,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,tokens
BIPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.3106537624735757,611,0.5793780687397708,0.5055667354418703,72,0.5972222222222222,"{'GDX', 'EEM'}"
BLPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.2063549565215023,449,0.5946547884187082,0.2640650342907572,72,0.6388888888888888,"{'GDX', 'EEM'}"
CYPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.3828423268621467,427,0.6323185011709602,0.5316883494789348,72,0.6805555555555556,"{'GDX', 'EEM'}"
CYPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.3924902957465147,398,0.628140703517588,0.5271144393097938,72,0.6666666666666666,"{'GDX', 'EEM'}"
FNPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.4704235674630244,299,0.5919732441471572,0.3330518083082811,72,0.6111111111111112,"{'GDX', 'EEM'}"
FNPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.4781034712839985,307,0.5895765472312704,0.3247718867950551,72,0.6111111111111112,"{'GDX', 'EEM'}"
IDPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.385219388084639,337,0.5816023738872403,0.5508128048438667,72,0.6527777777777778,"{'GDX', 'EEM'}"
IDPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.3299917419849729,360,0.5694444444444444,0.5463584996797499,72,0.6527777777777778,"{'GDX', 'EEM'}"
INPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.2830484684867156,443,0.582392776523702,0.3990681754091947,72,0.5555555555555556,"{'GDX', 'EEM'}"
INPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.3109245623548425,425,0.5858823529411765,0.3929517820804984,72,0.5555555555555556,"{'GDX', 'EEM'}"
MDPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.2447118444794899,398,0.5577889447236181,0.325814421298175,72,0.5833333333333334,"{'GDX', 'EEM'}"
MDPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.2408493720777263,398,0.5577889447236181,0.3215000110896491,72,0.5833333333333334,"{'GDX', 'EEM'}"
MLPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.275937691101375,244,0.5860655737704918,0.2845001184235471,72,0.5555555555555556,"{'GDX', 'EEM'}"
MLPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.2576546692069498,238,0.5756302521008403,0.2798682856840601,72,0.5555555555555556,"{'GDX', 'EEM'}"
SGPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.2814282142922791,331,0.5800604229607251,0.320882963358872,72,0.625,"{'GDX', 'EEM'}"
SGPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.2359388167854354,341,0.5689149560117303,0.3168349052962194,72,0.625,"{'GDX', 'EEM'}"
SLPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.2551900938357707,296,0.5743243243243243,0.3044662639150371,72,0.5833333333333334,"{'GDX', 'EEM'}"
SLPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.2850275120302731,279,0.5698924731182796,0.2999797185673518,72,0.5694444444444444,"{'GDX', 'EEM'}"
SMPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.5765528242876783,385,0.5818181818181818,0.7182330719440732,72,0.6111111111111112,"{'GDX', 'EEM'}"
SMPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.5824263702614191,386,0.5751295336787565,0.7158658692850839,72,0.6111111111111112,"{'GDX', 'EEM'}"
TEPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.4088560798440533,419,0.6229116945107399,0.4036816421380622,72,0.6111111111111112,"{'GDX', 'EEM'}"
TEPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.3811564354425734,406,0.6157635467980296,0.4005477875200629,72,0.6111111111111112,"{'GDX', 'EEM'}"
UAPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.4904869440794793,368,0.5706521739130435,0.5854067247737716,72,0.5694444444444444,"{'GDX', 'EEM'}"
UAPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.4816956512385538,368,0.5652173913043478,0.5799096087137805,72,0.5555555555555556,"{'GDX', 'EEM'}"
UDPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.3738752110836167,453,0.5960264900662252,0.3992128194068184,72,0.625,"{'GDX', 'EEM'}"
UDPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.3757423542721869,447,0.5950782997762863,0.3945163876111884,72,0.625,"{'GDX', 'EEM'}"
UJPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.307475521295412,257,0.5642023346303502,0.5441996873518159,72,0.6388888888888888,"{'GDX', 'EEM'}"
ULPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.3815601558497433,482,0.5912863070539419,0.5315443976847747,72,0.6388888888888888,"{'GDX', 'EEM'}"
ULPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.3790960042882802,482,0.5912863070539419,0.5274962002809329,72,0.6388888888888888,"{'GDX', 'EEM'}"
UMPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.498642170744366,381,0.5564304461942258,0.6471930464082101,72,0.5833333333333334,"{'GDX', 'EEM'}"
UMPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.4763591226348533,365,0.5534246575342465,0.6404220583541215,72,0.5833333333333334,"{'GDX', 'EEM'}"
UOPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.35394318193355,744,0.5833333333333334,0.6248094454967874,72,0.6527777777777778,"{'GDX', 'EEM'}"
UOPSX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.3517854391194504,747,0.5863453815261044,0.6210929879381588,72,0.6527777777777778,"{'GDX', 'EEM'}"
BKPIX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.3994572724906379,279,0.5770609318996416,0.451359700405895,72,0.6111111111111112,"{'GDX', 'EEM'}"
BKPSX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.4311302331958093,246,0.5813008130081301,0.4469342995892518,72,0.6111111111111112,"{'GDX', 'EEM'}"
SMPIX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.2989785461313647,677,0.6115214180206795,0.6409582092957739,72,0.6666666666666666,"{'GDX', 'EEM'}"
SMPSX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.3006068474556826,677,0.6115214180206795,0.6393981586527945,72,0.6666666666666666,"{'GDX', 'EEM'}"
TEPIX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.2175819732229671,707,0.5926449787835927,0.3669189674322365,72,0.5833333333333334,"{'GDX', 'EEM'}"
TEPSX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.2043153181219414,707,0.5898161244695899,0.36329776942522,72,0.5833333333333334,"{'GDX', 'EEM'}"
UAPIX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.2374052780243373,634,0.5646687697160884,0.6032233146762712,72,0.6111111111111112,"{'GDX', 'EEM'}"
UAPSX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.2319491078393741,634,0.5630914826498423,0.5993110205256205,72,0.6111111111111112,"{'GDX', 'EEM'}"
UDPIX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.2053802104037879,576,0.6024305555555556,0.3135565424482495,72,0.5972222222222222,"{'GDX', 'EEM'}"
UJPIX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.2130491483052543,753,0.5869853917662683,0.4000146630728496,72,0.5555555555555556,"{'GDX', 'EEM'}"
UJPSX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.2118771646827639,753,0.5869853917662683,0.4010747207431608,72,0.5555555555555556,"{'GDX', 'EEM'}"
ULPIX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.2252567197482669,582,0.6065292096219931,0.3772250930154666,72,0.5972222222222222,"{'GDX', 'EEM'}"
ULPSX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.2214604279826885,580,0.603448275862069,0.3736557933756603,72,0.5972222222222222,"{'GDX', 'EEM'}"
UMPIX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.2401118400969838,669,0.5724962630792227,0.5191200925947683,72,0.6111111111111112,"{'GDX', 'EEM'}"
UMPSX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.2357749338915551,669,0.5739910313901345,0.5143456998467397,72,0.5972222222222222,"{'GDX', 'EEM'}"
UNPIX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.2603299756730137,274,0.6021897810218978,0.308370784223845,72,0.6388888888888888,"{'GDX', 'EEM'}"
UNPSX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.2799364018298625,277,0.6064981949458483,0.3054346859186936,72,0.6388888888888888,"{'GDX', 'EEM'}"
UOPIX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.2527428609670577,707,0.5898161244695899,0.4388779959866382,72,0.6111111111111112,"{'GDX', 'EEM'}"
UOPSX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.2630870775929346,718,0.5974930362116991,0.4365293750302098,72,0.6111111111111112,"{'GDX', 'EEM'}"
SMPIX,pair_scan,pair_scan,EEM_down_GDX_up,3,0.2880844577260891,627,0.6012759170653907,0.3588459601771297,72,0.6805555555555556,"{'GDX', 'EEM'}"
SMPSX,pair_scan,pair_scan,EEM_down_GDX_up,3,0.2997288995219161,613,0.601957585644372,0.3574289746493717,72,0.6805555555555556,"{'GDX', 'EEM'}"
TEPIX,pair_scan,pair_scan,EEM_down_GDX_up,3,0.2128698824816642,753,0.6294820717131474,0.2260105703211675,72,0.6388888888888888,"{'GDX', 'EEM'}"
