ticker,fund_name,fund_theme,condition,horizon,full_avg,full_hit,full_trades,test_avg,test_hit,full_tstat,full_std,full_min,test_std,poor_train,high_std,poor_mono,direction_conflict,btc_weak_link,threshold_suboptimal,category,reason
FNPIX,Financials UltraSector ProFund Investor,金融,GDX_up_XLF_down_XLK_down,1,0.4858276671458093,0.6268656716417911,335,0.770104770695214,0.7142857142857143,4.036234754963172,2.20306965935264,-5.52245145380843,2.123004192207016,0,0,0,0,0,0,acceptable,各项指标可接受
FNPIX,Financials UltraSector ProFund Investor,金融,combo_XLV_down__ext_vix_5dchg_ge10,2,0.3177186424007083,0.6026936026936027,594,0.2918863133147494,0.6078431372549019,3.7388638731142527,2.071077102827658,-11.241497340193597,1.656317870668421,0,0,0,0,0,0,acceptable,各项指标可接受
FNPIX,Financials UltraSector ProFund Investor,金融,combo_GDX_up__ext_yld_curve_proxy_up,1,0.2967325776671122,0.5869565217391305,368,0.2562863133675561,0.6055045871559633,2.74407218271126,2.07440527102128,-10.74912101621867,1.3623499871495277,0,0,0,0,0,0,acceptable,各项指标可接受
FNPSX,Financials UltraSector ProFund Service Class,金融,GDX_up_SPY_down_XLF_down,1,0.5863096372384896,0.6063829787234043,282,0.6693797036490506,0.6666666666666666,3.1511015804953466,3.1245622641620763,-11.22058485673963,2.03843893628474,0,0,0,0,0,0,acceptable,各项指标可接受
FNPSX,Financials UltraSector ProFund Service Class,金融,combo_XLV_down__ext_vix_5dchg_ge10,2,0.3119827969514964,0.5993265993265994,594,0.2884717762346985,0.6078431372549019,3.671934192827216,2.070756248004713,-11.24789678492311,1.6582015659310103,0,0,0,0,0,0,acceptable,各项指标可接受
FNPSX,Financials UltraSector ProFund Service Class,金融,combo_GDX_up__ext_yld_curve_proxy_up,1,0.3294813706520703,0.5862068965517241,377,0.2520766045376314,0.6055045871559633,2.428027906307672,2.6348012762976265,-11.08864090443935,1.3618232740097211,0,0,0,0,0,0,acceptable,各项指标可接受
GVPSX,US Government Plus Profund， Service,国债,combo_TLT_down__self_3down,1,0.2071217863263763,0.58,400,0.2564370825738502,0.6388888888888888,3.3237231045809263,1.2463239554517065,-3.7979723261683,0.8410769554924582,0,0,0,0,0,0,acceptable,各项指标可接受
HCPIX,Health Care UltraSector ProFund Investor,医疗,FXY_up_GDX_up_QQQ_down,1,0.3626694194731027,0.6133603238866396,494,0.5303230192260707,0.5609756097560976,4.395541466524692,1.8338424860311375,-5.23727194499048,1.8815028610933016,0,0,0,0,0,0,acceptable,各项指标可接受
HCPIX,Health Care UltraSector ProFund Investor,医疗,LQD_up_XLC_up_XLE_down,1,0.3958433190138031,0.5833333333333334,168,0.3310213045396378,0.5396825396825397,3.667342306199839,1.399028339071989,-3.18387162554312,1.5357496708350005,0,0,0,0,0,0,acceptable,各项指标可接受
HCPIX,Health Care UltraSector ProFund Investor,医疗,combo_SLV_big_up__ext_sect_rotation_le-0_5,2,0.3912219263187004,0.6408450704225352,142,0.2861177662219066,0.6944444444444444,3.5495175251592403,1.3134030926148497,-3.6438131735062753,1.000263547507023,0,0,1,0,0,0,acceptable,各项指标可接受
HCPSX,Health Care UltraSector ProFund， Service Class,医疗,FXY_up_GDX_up_QQQ_down,1,0.3633948151802856,0.6144329896907217,485,0.5241567455208652,0.5609756097560976,4.348421641741016,1.840424251553768,-5.25092977087324,1.8803322030182452,0,0,0,0,0,0,acceptable,各项指标可接受
HCPSX,Health Care UltraSector ProFund， Service Class,医疗,LQD_up_XLC_up_XLE_down,1,0.3936630244138951,0.5833333333333334,168,0.3269627886650212,0.5396825396825397,3.646951611358813,1.3991016364633906,-3.18410342350971,1.5363316061110293,0,0,0,0,0,0,acceptable,各项指标可接受
HCPSX,Health Care UltraSector ProFund， Service Class,医疗,combo_SLV_big_up__ext_sect_rotation_le-0_5,2,0.3871023030216001,0.6338028169014085,142,0.2820004637401394,0.6944444444444444,3.512423806708981,1.3132971906098585,-3.64689494232997,1.0003649123383438,0,0,1,0,0,0,acceptable,各项指标可接受
IDPIX,Industrials Ultra Sector ProFund Investor Class,工业,GDX_up_XLK_down,1,0.3752431880844336,0.6227544910179641,501,0.6787957927303058,0.68,4.026993365453074,2.085694836293972,-5.89375492155793,2.097477047675569,0,0,0,0,0,0,acceptable,各项指标可接受
IDPIX,Industrials Ultra Sector ProFund Investor Class,工业,GDX_up_LQD_up_XLF_down,1,0.320061930094326,0.6159420289855072,276,0.4983981168033348,0.7333333333333333,2.5882377802499774,2.054397077749455,-10.0583567873555,1.1803089363728878,0,0,0,0,0,0,acceptable,各项指标可接受
IDPIX,Industrials Ultra Sector ProFund Investor Class,工业,combo_QQQ_up__self_down,1,0.2768363141979959,0.5826086956521739,230,0.474794575999185,0.6290322580645161,2.887073605058593,1.4542166748194971,-4.53634034887423,1.4587889152515183,0,0,0,0,0,0,acceptable,各项指标可接受
IDPSX,Industrials Ultra Sector ProFund Service Class,工业,GDX_up_SPY_down_XLK_down,1,0.4039053665254791,0.6188118811881188,404,0.8373507481224446,0.7301587301587301,3.887864045128128,2.0881381906195418,-5.87563106502615,2.19444714831648,0,0,0,0,0,0,acceptable,各项指标可接受
IDPSX,Industrials Ultra Sector ProFund Service Class,工业,QQQ_down_SLV_up_TLT_down,1,0.3403908829804162,0.5653710247349824,283,0.2729435645864277,0.6,2.952945988609418,1.9391688834285288,-5.22407688416791,1.611745731401665,0,0,0,0,0,0,acceptable,各项指标可接受
IDPSX,Industrials Ultra Sector ProFund Service Class,工业,combo_SPY_down__ext_usd_gold_ratio_le-1,1,0.2482434360911538,0.5880149812734082,267,0.605568003789801,0.627906976744186,1.4679437959819093,2.763274166166096,-10.93683454813155,3.044344930070107,1,0,0,0,0,0,excusable,全历史偏弱但2025后表现强
INPIX,Internet UltraSector ProFund， Investor Class,互联网,GLD_up_XLF_down_XLK_down,1,0.486913423286706,0.6355685131195336,343,0.6634790207009859,0.6,3.1319929851519253,2.879241058010487,-9.859950708364307,2.9864316542723097,0,0,0,0,0,0,acceptable,各项指标可接受
