ticker,direction,streak_days,n,avg,hit,std
ETHFX,down,1,191,0.2467128011993239,0.5078534031413613,4.537091033195071
ETHFX,up,1,169,-0.2540479842460312,0.4319526627218935,4.3027187430037905
ETHFX,down,2,94,0.6221542315079992,0.5638297872340425,4.9655015261641715
ETHFX,up,2,72,0.013173781004932729,0.4583333333333333,4.079202860970779
ETHFX,down,3,41,0.2747159227727041,0.5365853658536586,5.4716846282177745
ETHFX,up,3,33,0.6067412392274347,0.45454545454545453,4.053136343013755
ETHFX,down,4,19,1.1040839585492708,0.6842105263157895,6.266963513192893
ETHFX,up,4,15,0.6365582307067998,0.4,4.307459625789332
ETHFX,down,5,6,0.40998591230552667,0.6666666666666666,8.910124184985712
ETHFX,up,5,6,-0.3904226508260018,0.3333333333333333,3.4949504426588605
FDPIX,down,1,2556,0.003935964175069399,0.46635367762128327,0.45103513425859676
FDPIX,up,1,2465,-0.012923328067863414,0.43448275862068964,0.4817802735027723
FDPIX,down,2,1149,-0.004037359800946945,0.4595300261096606,0.4363406379324712
FDPIX,up,2,1071,-0.026795747739760255,0.42203548085901027,0.5082450417657813
FDPIX,down,3,521,0.012439297121840881,0.46641074856046066,0.4352102287635469
FDPIX,up,3,452,-0.051334890842474286,0.38716814159292035,0.5054935340538026
FDPIX,down,4,229,0.0036804631987029245,0.47161572052401746,0.43840866763852504
FDPIX,up,4,175,-0.061330477309645144,0.37142857142857144,0.5556793519591573
FDPIX,down,5,102,0.03967858355799039,0.5392156862745098,0.4637121978042955
FDPIX,up,5,65,-0.061200853624438306,0.3076923076923077,0.44083218800213664
FDPSX,down,1,2578,-0.0006889063704060618,0.4643134212567882,0.44958605734737705
FDPSX,up,1,2454,-0.020911633488329282,0.43031784841075793,0.4905870363044936
FDPSX,down,2,1164,-0.00480758628432813,0.46048109965635736,0.4310907139471373
FDPSX,up,2,1056,-0.03924075500390851,0.4100378787878788,0.5084003813603103
FDPSX,down,3,529,0.012744930458388166,0.4706994328922495,0.43637245652222334
FDPSX,up,3,433,-0.06088865708415441,0.3833718244803695,0.499660599371834
FDPSX,down,4,231,0.006025653648821903,0.47186147186147187,0.4381021961132203
FDPSX,up,4,166,-0.07136082867372964,0.3674698795180723,0.5443343715886025
FDPSX,down,5,105,0.04862493190587477,0.5142857142857142,0.45671623461330396
FDPSX,up,5,61,-0.07285844260614983,0.32786885245901637,0.4507524143880123
FNPIX,down,1,2887,0.17930457515130896,0.5226879113266366,2.6112234896201834
FNPIX,up,1,3263,-0.03390301899483846,0.49279803861477167,2.219748556485743
FNPIX,down,2,1226,0.15665782684782859,0.5203915171288744,2.811060523324839
FNPIX,up,2,1607,-0.049372637085697724,0.49968886123210954,1.9149305706130495
FNPIX,down,3,529,0.2216848400110208,0.5217391304347826,3.093120331504373
FNPIX,up,3,803,0.04020585538852658,0.5068493150684932,1.7685967159067557
FNPIX,down,4,228,0.1699109404858189,0.5394736842105263,3.327013801451951
FNPIX,up,4,407,0.015422256530015738,0.5036855036855037,1.3280818232675533
FNPIX,down,5,97,0.7355503462169528,0.5876288659793815,3.6910498269389853
FNPIX,up,5,205,-0.05571410120131846,0.45365853658536587,1.2885473153714717
FNPSX,down,1,2867,0.16196156889123736,0.5169166376002791,2.623624114429779
FNPSX,up,1,3233,-0.03762247798298595,0.49056603773584906,2.2217169757641115
FNPSX,down,2,1222,0.13977678633739798,0.5180032733224222,2.8298810056751287
FNPSX,up,2,1585,-0.04911688883656179,0.5009463722397476,1.9265924515617552
FNPSX,down,3,528,0.21173629745438544,0.5227272727272727,3.10656959552693
FNPSX,up,3,794,0.03248514002866149,0.5062972292191436,1.7739216817930656
FNPSX,down,4,226,0.23086781829718597,0.5353982300884956,3.5017278671725878
FNPSX,up,4,402,0.008269022201602808,0.5,1.3193378670719518
FNPSX,down,5,95,0.9051262604883982,0.6105263157894737,4.058353342956733
FNPSX,up,5,201,-0.05700165549508082,0.4577114427860697,1.288873942017163
FYAIX,down,1,2419,-0.019068045763325377,0.47044233154195947,0.5619240542326587
FYAIX,up,1,2683,0.02650397010049301,0.5024226612001491,0.513269476483797
FYAIX,down,2,1097,-0.016568363314544032,0.4822242479489517,0.6406569553533709
