ticker,condition,horizon,source,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,pass
LU0210528500,GDX_big_down,1,single_scan,-0.14596412730161432,175,0.44571428571428573,-0.15518360754337318,106,0.44339622641509435,False
LU0210533765,GDX_big_down,1,single_scan,0.008905585048942819,114,0.5175438596491229,-0.17555376770773523,57,0.47368421052631576,False
LU0224508324,GDX_big_down,1,single_scan,-0.2874064595494202,197,0.39593908629441626,-0.1505243246379826,106,0.46226415094339623,False
LU0225283786,GDX_big_down,1,single_scan,-0.12596827326894586,169,0.48520710059171596,-0.137141834886918,85,0.4823529411764706,False
LU0234570918,GDX_big_down,1,single_scan,-0.13168595975964306,193,0.46113989637305697,-0.122861321674062,101,0.48514851485148514,False
LU0262307720,GDX_big_down,1,single_scan,-0.43382382451917495,191,0.39790575916230364,-0.39436895458419396,101,0.43564356435643564,False
LU0266012318,GDX_big_down,1,single_scan,-0.16722950648781063,196,0.44387755102040816,-0.11409227608017197,102,0.4803921568627451,False
LU0280465617,GDX_big_down,1,single_scan,-0.029176789071620565,53,0.3584905660377358,,0,,False
LU0323240290,GDX_big_down,1,single_scan,-0.10457583552868129,190,0.46842105263157896,-0.0334010875822584,101,0.48514851485148514,False
LU0329202922,GDX_big_down,1,single_scan,-0.18003285664119215,177,0.423728813559322,-0.15740017105939058,106,0.4528301886792453,False
LU0345769128,GDX_big_down,1,single_scan,0.0184468872068301,107,0.5046728971962616,0.32454119449902735,15,0.6666666666666666,False
LU0345769631,GDX_big_down,1,single_scan,0.01865963796813147,107,0.5046728971962616,0.3246866681727893,15,0.6666666666666666,False
LU0345770308,GDX_big_down,1,single_scan,-0.017494110331383064,147,0.5034013605442177,0.07773444505606854,55,0.5818181818181818,False
LU0345770563,GDX_big_down,1,single_scan,0.024999765728531537,156,0.5128205128205128,0.16366999494495812,64,0.59375,False
LU0345780521,GDX_big_down,1,single_scan,-0.49597735771146695,191,0.418848167539267,-0.5335699151093141,99,0.45454545454545453,False
LU0345780950,GDX_big_down,1,single_scan,-0.08759603124909655,29,0.5172413793103449,,0,,False
LU0345781172,GDX_big_down,1,single_scan,-0.06650788598387301,43,0.5348837209302325,,0,,False
LU0345781503,GDX_big_down,1,single_scan,-0.2003873128538898,39,0.46153846153846156,,0,,False
LU0360482987,GDX_big_down,1,single_scan,-0.1058996576793321,175,0.45714285714285713,-0.09390881170922895,102,0.4803921568627451,False
LU0386856941,GDX_big_down,1,single_scan,-0.14789383610192444,184,0.45652173913043476,-0.11530149915757061,102,0.43137254901960786,False
LU0411709560,GDX_big_down,1,single_scan,-0.331520282539015,165,0.3878787878787879,-0.306118964595895,100,0.44,False
LU0426412945,GDX_big_down,1,single_scan,-0.0191166067702787,99,0.5050505050505051,0.12426325479857223,9,0.6666666666666666,False
LU0432979887,GDX_big_down,1,single_scan,-0.18379988707438,199,0.40703517587939697,-0.16197766806200778,106,0.4056603773584906,False
LU0503632100,GDX_big_down,1,single_scan,-0.14383808645895485,182,0.44505494505494503,-0.15398022472801873,102,0.43137254901960786,False
LU0503633330,GDX_big_down,1,single_scan,-0.24136094552472676,43,0.4418604651162791,,0,,False
LU0528227936,GDX_big_down,1,single_scan,-0.07678720094547849,210,0.45714285714285713,-0.06206760563335593,108,0.4722222222222222,False
LU0555020303,GDX_big_down,1,single_scan,-0.03537976943301388,209,0.45933014354066987,-0.012635731740122152,106,0.4528301886792453,False
LU0566484027,GDX_big_down,1,single_scan,-0.38433706758407216,190,0.3684210526315789,-0.21869382323688843,102,0.4117647058823529,False
LU0566484704,GDX_big_down,1,single_scan,-0.3811235130306312,190,0.3684210526315789,-0.2154941812911797,102,0.4117647058823529,False
LU0641506000,GDX_big_down,1,single_scan,-0.053566873736994765,111,0.5135135135135135,0.05913316278640895,19,0.631578947368421,False
LU0696274553,GDX_big_down,1,single_scan,-0.09272196116658489,45,0.4888888888888889,-0.11345369966318453,44,0.4772727272727273,False
LU0737136415,GDX_big_down,1,single_scan,-0.026912239822600832,60,0.38333333333333336,,0,,False
LU0757359954,GDX_big_down,1,single_scan,-0.12509087166354851,200,0.385,-0.11368860819514146,106,0.42452830188679247,False
LU0776415563,GDX_big_down,1,single_scan,-0.13354049428311554,199,0.457286432160804,-0.0877950664151104,105,0.5142857142857142,False
