ticker,strategy_no,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit
MGPIX,3,triple_scan,GDX_up_down_down_IWM_XLK,1,0.2533499046074154,453,0.6269315673289183,0.585366126207992,54,0.6666666666666666
MGPSX,1,triple_scan,GDX_up_down_down_XLF_XLK,1,0.2712729139570114,400,0.635,0.7078731296997836,49,0.7551020408163265
MGPSX,2,triple_scan,GDX_up_down_down_XLK_XLV,1,0.24570554713894355,479,0.5970772442588727,0.8883149775988761,36,0.7222222222222222
MGPSX,3,triple_scan,GDX_up_down_down_SPY_XLK,1,0.23781734935850768,502,0.6155378486055777,0.5958035324458483,63,0.6825396825396826
MLPIX,1,triple_scan,GDX_up_down_down_SPY_XLF,1,0.42021209828572176,216,0.6018518518518519,0.5588510809221118,60,0.65
MLPIX,2,triple_scan,GDX_up_down_down_SPY_XLK,1,0.3017853943564483,387,0.5943152454780362,0.5385623528058177,63,0.6349206349206349
MLPIX,3,triple_scan,GDX_up_down_down_XLK_XLV,1,0.29653928147784353,384,0.5755208333333334,0.9174276789892725,36,0.7222222222222222
MLPSX,1,triple_scan,GDX_up_down_down_SPY_XLF,1,0.4170282475380811,219,0.6027397260273972,0.5552566473939436,60,0.65
MLPSX,2,triple_scan,GDX_up_down_down_XLK_XLV,1,0.2958941283256512,404,0.5693069306930693,0.9146476717337132,36,0.7222222222222222
MLPSX,3,triple_scan,GDX_up_down_down_XLF_XLK,1,0.32187117280533506,317,0.6056782334384858,0.6703678059844669,49,0.6938775510204082
OEPIX,1,triple_scan,QQQ_down_down_down_TLT_XLC,1,0.9262251842925474,127,0.5984251968503937,0.8217669890913181,66,0.5606060606060606
OEPIX,2,condition_expansion,combo_GLD_big_down__ext_vix_chg_down,1,0.6671411919620126,167,0.5988023952095808,0.7656105387587486,33,0.6060606060606061
OEPIX,3,triple_scan,TLT_down_down_down_UUP_XLV,2,0.6059499734029589,171,0.5789473684210527,0.7488725173635989,38,0.5789473684210527
OEPSX,1,condition_expansion,combo_GLD_big_down__ext_vix_chg_down,1,0.6671901816190131,161,0.5900621118012422,0.760719018469639,33,0.6060606060606061
OEPSX,2,triple_scan,TLT_down_down_down_UUP_XLV,2,0.6081201353590042,186,0.5752688172043011,0.7463057238294055,38,0.5789473684210527
OEPSX,3,triple_scan,TIP_down_up_down_XLF_XLV,2,0.5470507144427535,212,0.5707547169811321,0.8016666846480829,32,0.59375
OTPIX,1,condition_expansion,combo_XLF_big_down__self_down,1,0.252456414304231,749,0.5794392523364486,0.20164534407689966,33,0.5757575757575758
OTPIX,2,triple_scan,FXY_up_up_down_GDX_QQQ,1,0.29368328158275425,508,0.6279527559055118,0.5733377404985666,41,0.6097560975609756
OTPIX,3,triple_scan,GDX_up_down_down_XLK_XLV,1,0.2999094788478996,487,0.62217659137577,0.9798919997323292,36,0.75
OTPSX,1,condition_expansion,combo_IWM_down__ext_usd_gold_ratio_le-1,1,0.33768677693687293,300,0.61,0.4287793440004389,46,0.6086956521739131
PHPIX,1,triple_scan,FXY_up_up_down_GDX_QQQ,1,0.35046072137690665,468,0.5811965811965812,0.7123919504602448,41,0.6097560975609756
PHPIX,2,triple_scan,FXY_up_up_down_GDX_XLK,1,0.33511589572369893,454,0.5616740088105727,0.7180370920797026,38,0.6052631578947368
PHPIX,3,condition_expansion,combo_IWM_down__ext_usd_gold_ratio_le-1,1,0.5369988156712479,156,0.6602564102564102,0.3210333893408904,46,0.6086956521739131
