ticker,fund_group,source,condition,horizon,full_history_avg,pass
UJPIX,ultra_long,main,XLF_bin_-1_-0.5,1,-0.2161,True
UJPIX,ultra_long,main,QQQ_bin_-2_-1,1,0.2082,True
UJPSX,inverse,main,XLV_bin_gt2,1,-1.0613,True
UJPSX,inverse,main,SPY_bin_gt2,1,-0.9789,True
UJPSX,inverse,main,XLK_bin_gt2,1,-0.6749,True
UJPSX,inverse,main,XLK_bin_-1_-0.5,1,0.3887,True
UJPSX,inverse,main,IWM_bin_-1_-0.5,1,0.3493,True
UJPSX,inverse,main,XLV_big_down,1,0.3327,True
UJPSX,inverse,main,XLF_bin_-1_-0.5,1,-0.2193,True
UJPSX,inverse,main,XLU_bin_-0.5_0,1,0.2178,True
UKPIX,ultra_long,main,XLF_bin_lt-2,1,-0.5524,True
UKPIX,ultra_long,main,QQQ_bin_-2_-1,1,-0.4771,True
UKPIX,ultra_long,main,IWM_bin_-1_-0.5,1,-0.4613,True
UKPIX,ultra_long,main,XLF_bin_-2_-1,1,-0.3782,True
UKPIX,ultra_long,main,XLK_bin_-2_-1,1,-0.2615,True
UKPIX,ultra_long,main,QQQ_big_down,1,-0.2409,True
UKPIX,ultra_long,main,SPY_down_QQQ_down,1,-0.2239,True
UKPSX,inverse,main,XLK_bin_gt2,1,0.5703,True
UKPSX,inverse,main,XLF_bin_lt-2,1,-0.5531,True
UKPSX,inverse,main,QQQ_bin_-2_-1,1,-0.4534,True
UKPSX,inverse,main,IWM_bin_-1_-0.5,1,-0.4357,True
UKPSX,inverse,main,XLF_bin_-2_-1,1,-0.3252,True
UKPSX,inverse,main,XLF_big_down,1,-0.2134,True
UKPSX,inverse,main,SPY_down_QQQ_down,1,-0.2109,True
UKPSX,inverse,main,QQQ_big_down,1,-0.208,True
ULPIX,ultra_long,main,FXY_big_up,1,0.4911,True
ULPIX,ultra_long,main,FXY_bin_1_2,1,0.4808,True
ULPIX,ultra_long,main,XLF_big_down,1,0.3885,True
ULPIX,ultra_long,main,XLV_big_down,1,0.3644,True
ULPIX,ultra_long,main,XLE_bin_lt-2,1,0.3219,True
ULPIX,ultra_long,main,TLT_big_up,1,0.2917,True
ULPIX,ultra_long,main,EEM_bin_lt-2,1,0.2506,True
ULPIX,ultra_long,main,XLF_bin_-2_-1,1,0.2016,True
ULPSX,inverse,main,FXY_big_up,1,0.4879,True
ULPSX,inverse,main,FXY_bin_1_2,1,0.4777,True
ULPSX,inverse,main,XLV_big_down,1,0.3178,True
ULPSX,inverse,main,XLE_bin_lt-2,1,0.289,True
ULPSX,inverse,main,TLT_big_up,1,0.2858,True
ULPSX,inverse,main,EEM_bin_lt-2,1,0.2397,True
UMPIX,ultra_long,main,FXY_bin_1_2,1,0.3953,True
UMPIX,ultra_long,main,TLT_big_up,1,0.2555,True
UMPIX,ultra_long,main,XLU_bin_-0.5_0,1,0.2208,True
UMPSX,inverse,main,FXY_bin_1_2,1,0.39,True
UMPSX,inverse,main,TLT_big_up,1,0.2482,True
UNPIX,ultra_long,main,XLV_big_down,1,0.4239,True
UNPIX,ultra_long,main,XLF_bin_-2_-1,1,0.2931,True
UNPSX,inverse,main,XLF_bin_-2_-1,1,0.2883,True
UOPIX,ultra_long,main,FXY_big_up,1,0.756,True
UOPIX,ultra_long,main,FXY_bin_1_2,1,0.6905,True
UOPIX,ultra_long,main,GDX_bin_0.5_1,1,0.6316,True
UOPIX,ultra_long,main,XLV_bin_-2_-1,1,0.3901,True
UOPIX,ultra_long,main,GLD_bin_0.5_1,1,0.3438,True
UOPIX,ultra_long,main,TLT_big_up,1,0.3341,True
UOPIX,ultra_long,main,XLF_bin_-2_-1,1,0.2756,True
UOPIX,ultra_long,main,IWM_bin_-1_-0.5,1,0.2747,True
UOPIX,ultra_long,main,SLV_bin_-0.5_0,1,0.2097,True
UOPIX,ultra_long,main,EEM_bin_1_2,1,0.2026,True
UOPSX,inverse,main,FXY_big_up,1,0.7525,True
UOPSX,inverse,main,FXY_bin_1_2,1,0.6884,True
UOPSX,inverse,main,GDX_bin_0.5_1,1,0.643,True
UOPSX,inverse,main,XLV_bin_-2_-1,1,0.3718,True
UOPSX,inverse,main,TLT_big_up,1,0.33,True
UOPSX,inverse,main,XLF_bin_-2_-1,1,0.2684,True
UOPSX,inverse,main,SLV_bin_-0.5_0,1,0.2089,True
URPIX,ultra_long,main,FXY_big_up,1,-0.487,True
URPIX,ultra_long,main,FXY_bin_1_2,1,-0.4728,True
URPIX,ultra_long,main,XLV_big_down,1,-0.4216,True
URPIX,ultra_long,main,XLE_bin_lt-2,1,-0.3397,True
URPIX,ultra_long,main,TLT_big_up,1,-0.3125,True
URPIX,ultra_long,main,EEM_bin_lt-2,1,-0.2556,True
URPIX,ultra_long,main,XLF_bin_-2_-1,1,-0.2156,True
URPIX,ultra_long,main,TLT_bin_1_2,1,-0.2055,True
URPSX,inverse,main,FXY_big_up,1,-0.4845,True
URPSX,inverse,main,FXY_bin_1_2,1,-0.4686,True
URPSX,inverse,main,XLE_bin_lt-2,1,-0.3792,True
URPSX,inverse,main,XLV_big_down,1,-0.3521,True
URPSX,inverse,main,TLT_big_up,1,-0.3105,True
URPSX,inverse,main,EEM_bin_lt-2,1,-0.2586,True
URPSX,inverse,main,XLF_bin_-2_-1,1,-0.2171,True
URPSX,inverse,main,TLT_bin_1_2,1,-0.2038,True
USPIX,ultra_long,main,SPY_bin_lt-2,1,-1.3312,True
USPIX,ultra_long,main,FXY_big_up,1,-0.7239,True
USPIX,ultra_long,main,FXY_bin_1_2,1,-0.6879,True
USPIX,ultra_long,main,XLK_bin_lt-2,1,-0.6303,True
USPIX,ultra_long,main,XLE_bin_lt-2,1,-0.5618,True
USPIX,ultra_long,main,XLV_big_down,1,-0.4381,True
