ETF,Fund,N,Same,Lead1,DirAgree
BIL,UJPSX,2509,0.0049,0.0891,0.3509
BIL,UKPIX,2509,-0.0128,-0.0431,0.3409
BIL,UKPSX,2509,-0.0131,-0.0433,0.3397
BIL,ULPIX,2509,-0.0013,0.021,0.3509
BIL,ULPSX,2509,-0.0018,0.026,0.3509
BIL,UMPIX,2509,0.0055,0.0021,0.3453
BIL,UMPSX,2509,0.0056,0.0025,0.3453
BIL,UNPIX,2509,0.0018,0.017,0.3485
BIL,UNPSX,2509,0.0024,0.0169,0.3477
BIL,UOPIX,2509,-0.0016,0.0236,0.3664
BIL,UOPSX,2509,-0.0024,0.0318,0.366
BIL,URPIX,2509,-0.0029,0.0017,0.3349
BIL,URPSX,2509,-0.002,0.0015,0.3337
BIL,USPIX,2509,-0.0021,-0.0021,0.3274
BIL,USPSX,2509,-0.0018,-0.0018,0.3278
BIL,UTPIX,2509,0.0361,-0.0202,0.3481
BIL,UTPSX,2509,0.0371,-0.0201,0.3477
BIL,UUPIX,2509,-0.0186,-0.0019,0.3489
BIL,UUPSX,2509,-0.0182,-0.0017,0.3493
BIL,UVPIX,2509,0.0161,0.0022,0.3453
BIL,UVPSX,2509,0.0171,0.0018,0.3421
BIL,UWPIX,2509,-0.0055,-0.0041,0.3389
BIL,UWPSX,2509,-0.0052,-0.0041,0.3349
BIL,UXPIX,2509,-0.0026,-0.0177,0.3401
BIL,UXPSX,2509,-0.003,-0.0171,0.3393
BIL,WCPIX,2509,0.0073,-0.0083,0.3628
BIL,WCPSX,2509,0.0074,-0.0073,0.3612
BND,AFBIX,2483,-0.4851,0.0257,0.4678
BND,AFBSX,2483,-0.2945,0.0246,0.4682
BND,BIPIX,2509,0.156,0.0022,0.5052
BND,BIPSX,2509,0.1509,0.0023,0.5068
BND,BITIX,1028,-0.0706,0.0076,0.4966
BND,BKPIX,2509,-0.0021,-0.0433,0.5028
BND,BKPSX,2509,-0.0021,-0.0429,0.5016
BND,BLPIX,2509,0.1453,-0.0112,0.5096
BND,BLPSX,2509,0.145,-0.0099,0.5076
BND,BMPIX,2509,0.1104,0.0,0.508
BND,BMPSX,2509,0.1102,0.0006,0.5084
BND,BRPIX,2509,-0.1443,0.0104,0.4438
BND,BRPSX,2509,-0.1439,0.0109,0.4458
BND,BTCFX,1254,0.083,0.0067,0.4796
BND,CNPIX,2509,0.1869,0.0212,0.512
BND,CNPSX,2509,0.1871,0.0225,0.5124
BND,CYPIX,2509,0.1853,-0.0007,0.4992
