ticker,strategy_no,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,density_full,density_frozen
SLPSX,3,condition_expansion,combo_XLK_down__ext_usd_gold_ratio_le-1,1,0.4015059421093821,170,0.6058823529411764,0.5923749920003435,39,0.6410256410256411,160,35
SMPIX,1,condition_expansion,combo_QQQ_down__ext_vix_5dchg_up,1,0.6803899186045047,591,0.583756345177665,1.4284447752314506,108,0.6111111111111112,200,40
SMPIX,2,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_down,2,0.31267986420795657,929,0.5941872981700753,0.39468498866887275,90,0.6111111111111112,200,40
SMPIX,3,condition_expansion,ext_stk_bon_corr_up,10,0.25406237540323123,1257,0.6364359586316627,0.4335310531600098,283,0.7067137809187279,200,40
SMPSX,1,triple_scan,GDX_up_down_down_SPY_XLK,1,0.776918223035151,441,0.6167800453514739,1.299350917043555,63,0.6666666666666666,200,40
SMPSX,2,condition_expansion,combo_XLV_down__self_down,2,0.3335523444457529,1423,0.5888966971187631,0.8111482336450362,81,0.6666666666666666,200,40
SMPSX,3,pair_scan,LQD_up_XLV_up,2,0.2941897027877875,630,0.5825396825396826,0.49543502923959065,128,0.6015625,200,40
SNPIX,1,triple_scan,QQQ_up_up_up_XLC_XLV,1,0.3705735828518337,158,0.569620253164557,0.8807136883415989,35,0.6,120,30
SNPSX,1,triple_scan,SPY_up_up_up_XLC_XLK,1,0.4212866628776488,147,0.6122448979591837,0.7584011975858662,44,0.7045454545454546,120,30
SPPIX,1,triple_scan,GLD_up_up_down_XLE_XLV,1,0.28976361890412705,421,0.5795724465558195,0.41647678676979943,54,0.5740740740740741,120,30
SPPIX,2,triple_scan,EEM_up_up_down_GLD_IWM,1,0.3315668152982321,290,0.5758620689655173,0.9217735695831965,34,0.5882352941176471,120,30
SPPIX,3,triple_scan,GLD_up_down_up_IWM_XLE,1,0.28259317474671547,302,0.5860927152317881,0.54749113787431,47,0.5531914893617021,120,30
SPPSX,1,triple_scan,GLD_up_up_down_XLE_XLV,1,0.293234602950354,421,0.5795724465558195,0.4285554965448252,54,0.5740740740740741,120,30
SVPIX,1,triple_scan,GDX_up_down_down_SPY_XLK,1,0.3025111483423076,394,0.5685279187817259,0.5852671767762666,63,0.6666666666666666,200,40
SVPIX,2,triple_scan,GDX_up_down_down_SPY_XLF,1,0.35372687705532596,235,0.5617021276595745,0.6194160298151413,60,0.6666666666666666,200,40
SVPIX,3,triple_scan,GDX_up_down_down_SPY_XLV,1,0.2663142057098967,361,0.556786703601108,0.8970839009253282,44,0.7045454545454546,200,40
SVPSX,1,triple_scan,GDX_up_down_down_SPY_XLK,1,0.3010347861695245,406,0.5640394088669951,0.5803286314485473,63,0.6507936507936508,200,40
SVPSX,2,triple_scan,GDX_up_down_down_SPY_XLF,1,0.3580917600249036,241,0.5643153526970954,0.6149032382865497,60,0.65,200,40
